--- Chunk 0 ---
[5.77-6.25]  Hei!
[39.34-39.52]  fem
[39.52-40.14]  episodyr
[40.14-40.38]  og
[40.38-40.70]  seren
[40.70-41.04]  alag
[41.04-41.34]  av
[41.34-41.82]  tommas
[41.82-42.38]  alser
[42.38-42.66]  og
[42.66-43.06]  fortalt
[43.06-43.24]  av
[43.24-43.60]  meg
[43.60-44.12]  sinderlig
[44.12-45.58]  ganger.
[48.82-49.24]  En
[49.24-49.62]  søndag
[49.62-50.28]  joktobbyr
[50.28-50.78]  2013
[50.78-51.50]  gjettere
[51.50-51.92]  tre
[51.92-52.20]  hus
[52.20-52.40]  på
[52.40-52.74]  Berke
[52.74-52.94]  og
[52.94-53.30]  Sto,
[53.64-53.88]  sitter
[53.88-54.24]  20
[54.24-54.44]  år
[54.44-54.76]  gammelig
[54.76-55.08]  gære
[55.08-55.20]  på
[55.20-55.70]  rumensitt
[55.70-55.92]  med
[55.92-57.44]  datbanforanser.
[58.00-58.56]  Rullgardiner
[58.56-58.76]  er
[58.76-58.92]  som
[58.92-59.30]  vanlig
[59.30-59.60]  trekt
[59.60-60.02]  ned,
[60.16-60.38]  der
[60.38-60.74]  skærmen
[60.74-60.94]  som
[60.94-61.20]  lyser
[61.20-61.38]  på
[61.38-62.04]  ansiktans.
[62.48-63.06]  Gjer
[63.06-63.24]  har
[63.24-63.78]  korttår,
[64.00-64.06]  er
[64.06-64.50]  slank,
[64.72-65.10]  vellonger
[65.10-65.52]  fingre
[65.52-65.76]  som
[65.76-66.10]  løkter
[66.10-66.18]  å
[66.18-66.32]  løkte
[66.32-66.32]  å
[66.32-66.32]  løkte
[66.32-66.40]  at
[66.40-66.78]  stature.
[69.22-69.58]  På
[69.58-69.86]  vegen
[69.86-70.10]  ve
[70.10-70.48]  sideen
[70.48-70.66]  av
[70.66-70.84]  henger
[70.84-71.00]  en
[71.00-71.58]  elgitar.
[72.06-72.24]  De
[72.24-72.48]  siste
[72.48-72.82]  åra,
[72.94-73.02]  så
[73.02-73.10]  er
[73.10-73.18]  det
[73.18-73.64]  musikk
[73.64-73.92]  gjer
[73.92-74.08]  her
[74.08-74.56]  ledtfor.
[75.06-75.10]  Men
[75.10-75.52]  akkurat
[75.52-75.92]  noe,
[76.00-76.06]  så
[76.06-76.14]  er
[76.14-76.20]  det
[76.20-76.36]  noe
[76.36-76.78]  ant,
[76.98-77.02]  som
[77.02-77.70]  opptartankene
[77.70-78.02]  ans.
[83.22-83.82]  Inne
[83.82-84.00]  på
[84.00-84.16]  den
[84.16-84.52]  norske
[84.52-85.66]  diskussionsforumme
[85.66-86.26]  frik
[86.26-86.64]  start
[86.64-86.94]  gjer
[86.94-87.10]  den
[87.10-87.32]  nye
[87.32-87.84]  trå.
[88.28-88.46]  Inne
[88.46-88.94]  brukene
[88.94-89.26]  omne
[89.26-89.78]  blodtshot
[89.78-90.24]  ice
[90.24-90.48]  og
[90.48-90.90]  spøran.
[91.21-91.83]  Hvordan
[91.83-92.31]  skjitte
[92.31-92.57]  har
[92.57-92.65]  du
[92.65-93.05]  inn?
[94.79-94.99]  Har
[94.99-95.21]  lese
[95.21-95.43]  noen
[95.43-95.77]  tråer
[95.77-95.85]  om
[95.85-96.13]  dette.
[97.25-97.35]  Men
[97.35-97.45]  jeg
[97.45-97.53]  ble
[97.53-97.75]  ikke
[97.75-98.01]  veldig
[98.01-98.19]  mye
[98.19-98.61]  klokre.
[100.73-101.17]  Vilken
[101.17-101.73]  størrelse
[101.73-102.13]  beskrøte
[102.13-102.27]  å
[102.27-102.69]  være?
[104.57-104.85]  Hvordan
[104.85-105.13]  skal
[105.13-105.59]  forrole
[105.59-105.71]  med
[105.71-105.93]  lom
[105.93-106.35]  herro
[106.35-106.81]  van,
[107.03-107.15]  og
[107.15-107.25]  skal
[107.25-107.37]  du
[107.37-107.61]  begynse
[107.61-107.75]  i
[107.75-108.25]  rvare?
[109.23-109.39]  Hvor
[109.39-109.69]  længig
[109.69-109.87]  skal
[109.87-109.97]  du
[109.97-110.29]  koke?
[111.55-111.69]  Og
[111.69-111.81]  takt
[111.81-111.91]  for
[111.91-112.13]  svar.
[114.37-114.85]  Jenn
[114.85-114.99]  om
[114.99-115.11]  de
[115.11-115.35]  næste
[115.35-115.79]  åra,
[115.87-115.99]  så
[115.99-116.17]  skal
[116.17-116.31]  du
[116.31-116.43]  den
[116.43-116.59]  her
[116.59-117.63]  diskussionstrån,
[117.71-117.83]  på
[117.83-118.11]  notte
[118.11-118.39]  også
[118.39-118.63]  briden
[118.63-118.89]  er
[118.89-119.11]  ut
[119.11-119.47]  trån,
[119.59-119.77]  gjennom
[119.77-120.03]  gjer
[120.03-120.49]  slivt.
[120.72-121.14]  Og
[121.14-121.20]  det
[121.20-121.68]  anskriver
[121.68-122.02]  der
[122.02-122.22]  skal
[122.22-122.42]  enda
[122.42-122.64]  opp
[122.64-122.64]  med
[122.64-123.20]  brilest
[123.20-123.46]  av
[123.46-123.60]  hinder
[123.60-124.34]  tusner.
[125.48-125.48]  Det
[125.48-125.58]  skal
[125.58-125.78]  gjøre
[125.78-126.02]  folk
[126.02-126.68]  forbanna,
[126.96-127.50]  berøtte
[127.50-128.00]  og
[128.00-128.50]  noen
[128.50-128.66]  som
[128.66-128.76]  for
[128.76-129.02]  eksempel
[129.02-129.22]  fra
[129.22-129.90]  eldrans,
[130.10-130.20]  så
[130.20-130.78]  kette.
[131.90-132.00]  For
[132.00-132.12]  det
[132.12-132.36]  gjer
[132.36-132.54]  skal
[132.54-132.86]  gjøre
[132.86-133.24]  er
[133.24-133.32]  å
[133.32-133.62]  live
[133.62-134.28]  blogge
[134.28-134.42]  sin
[134.42-134.74]  egen
[134.74-135.34]  undergang.
[161.31-161.75]  Og
[161.75-161.89]  så
[161.89-161.95]  er
[161.95-162.07]  kun
[162.07-162.25]  en
[162.25-162.79]  gråta
[162.79-163.21]  i
[163.21-164.15]  timesvis.
[164.61-164.71]  Vann,
[164.83-165.21]  hvis
[165.21-165.43]  det
[165.43-165.53]  er
[165.53-165.87]  grått
[165.87-166.11]  anden
[166.11-166.39]  for?
[167.49-167.71]  Og
[167.71-167.81]  så
[167.81-168.09]  ser
[168.09-169.03]  jeg
[169.03-169.29]  en...
[169.29-169.61]  Hva
[169.61-169.69]  jeg
[169.69-169.93]  sette
[169.93-170.09]  med
[170.09-170.41]  at
[170.41-171.09]  skudde
[171.09-171.49]  her
[171.49-171.83]  eller
[171.83-172.33]  eller
[172.33-172.47]  med
[172.47-172.55]  at
[172.55-172.61]  gå
[172.61-172.79]  på
[172.79-173.07]  lass?
[174.49-174.79]  Hva
[174.79-174.95]  er
[174.95-175.01]  det
[175.01-175.43]  her?
[176.35-176.35]  Er
[176.35-176.35]  det
[176.35-176.63]  sine
[176.63-176.89]  i
[176.89-176.95]  det?
[177.35-177.53]  Hvor
[177.53-177.83]  kommer
[177.83-178.01]  det
[178.01-178.15]  til
[178.15-178.31]  her
[178.31-178.61]  fra?
[180.01-180.41]  Vi
[180.41-180.71]  visste
[180.71-180.83]  å
[180.83-181.03]  komme
[181.03-181.43]  om
[181.43-181.79]  over.
[181.91-181.91]  Det
[181.91-181.97]  er
[181.97-182.21]  ikke
[182.21-182.37]  veldig.
[184.43-184.85]  Fann
[184.85-184.97]  jeg
[184.97-185.19]  man
[185.19-185.37]  noen
[185.37-185.55]  å
[185.55-185.63]  noe
[185.63-185.69]  noe
[185.69-185.79]  noe
[185.79-185.81]  noe
[185.81-185.85]  noe
[185.85-185.91]  noe
[185.91-185.91]  noe
[185.91-186.11]  noe
[186.11-186.15]  noe
[186.15-186.15]  noe
[186.15-186.73]  noe
[186.73-186.95]  noe
[186.95-186.95]  noe
[186.95-186.95]  noe
[186.95-186.95]  noe
[186.95-186.97]  noe
[186.97-187.13]  noe
[187.13-187.75]  noe
[187.75-187.75]  noe
[187.75-187.75]  noe
[187.75-187.75]  noe
[187.75-187.75]  noe
[187.75-188.17]  noe
[188.17-188.17]  noe
[188.17-188.29]  noe
[188.29-188.37]  noe
[188.37-188.37]  noe
[188.37-188.37]  noe
[188.37-188.37]  noe
[188.37-189.13]  noe
[189.13-190.27]  noe
[190.27-190.27]  noe
[189.77-190.25]  En
[190.25-190.59]  svært
[190.59-191.05]  sprøt
[191.05-191.21]  i
[191.21-191.71]  Hønno
[191.71-192.07]  og
[192.07-192.37]  sa
[192.37-192.49]  at
[192.49-193.03]  politier
[193.03-193.19]  ikke
[193.19-193.49]  måtte
[193.49-194.05]  komme
[194.05-194.77]  nærhan
[194.77-194.95]  for
[194.95-195.89]  det.
[196.17-196.61]  Nå
[196.61-197.15]  vil
[197.15-197.33]  jeg
[197.33-197.57]  gjøre
[197.57-197.71]  det
[197.71-198.05]  slut
[198.05-198.51]  for
[198.51-198.79]  at
[198.79-198.85]  det.
[199.63-199.95]  I
[199.95-200.21]  denne
[200.21-200.57]  serien
[200.57-200.73]  så
[200.73-200.81]  skal
[200.81-200.97]  vi
[200.97-201.33]  følge
[201.33-201.67]  deg
[201.67-202.15]  igenom
[202.15-202.65]  trånans
[202.65-202.81]  på
[202.81-203.55]  frikvurme.
[204.17-204.41]  Både
[204.41-204.69]  igenom
[204.69-204.77]  det
[204.77-205.03]  ønsker
[205.03-205.13]  jeg
[205.13-205.59]  hør,
[205.69-205.79]  men
[205.79-205.99]  også
[205.99-206.21]  det
[206.21-206.63]  andre
[206.63-207.01]  skræv
[207.01-207.13]  til
[207.13-207.55]  ham.
[208.67-208.95]  Måde
[208.95-209.17]  er
[209.17-209.31]  det
[209.31-209.51]  prøver
[209.51-210.13]  forstå.
[210.65-210.87]  Var
[210.87-211.03]  det
[211.03-211.19]  som
[211.19-211.37]  får
[211.37-211.59]  en
[211.59-211.75]  til
[211.75-212.23]  synlat
[212.23-212.81]  negaske
[212.81-213.33]  vanlig
[213.33-213.97]  kjurring
[213.97-214.19]  til
[214.19-214.25]  å
[214.25-214.37]  be
[214.37-214.49]  om
[214.49-214.81]  hjert
[214.81-215.09]  til
[215.09-215.11]  å
[215.11-215.47]  starte
[215.47-215.61]  med
[215.61-215.73]  her
[215.73-216.01]  uin.
[216.91-217.07]  Og
[217.07-217.23]  kunde
[217.23-217.63]  noen.
[217.74-218.22]  Endning
[218.22-218.44]  på
[218.44-218.84]  frik
[218.84-219.02]  eller
[219.02-219.28]  rundt
[219.28-220.06]  gajersjør,
[220.32-220.58]  sakte
[220.58-220.88]  ljurt
[220.88-221.26]  noe
[221.26-221.50]  for
[221.50-221.52]  å
[221.52-221.84]  hinder
[221.84-222.24]  at
[222.24-222.44]  ikke
[222.44-222.64]  som
[222.64-222.92]  de
[222.92-223.54]  ikke.
[228.34-228.74]  Rett
[228.74-229.30]  baken
[229.30-229.54]  store
[229.54-230.16]  trabban
[230.16-230.36]  på
[230.36-231.18]  verkjorslo
[231.18-231.60]  ligger
[231.60-231.94]  altså
[231.94-232.14]  det
[232.14-232.76]  røhuser
[232.76-232.94]  gaj
[232.94-233.02]  er
[233.02-233.46]  vokstopp
[233.46-233.66]  i.
[236.62-237.28]  Kjøkken
[237.28-237.66]  indyster
[237.66-238.36]  oppendt
[238.36-238.42]  og
[238.42-238.70]  liden
[238.70-238.90]  fra
[238.90-239.58]  trabban
[239.58-239.88]  bare
[239.88-240.24]  helt.

--- Chunk 1 ---
[10.96-11.58]  Hva
[11.58-11.88]  kan
[11.88-12.08]  si
[12.08-12.32]  du?
[12.62-12.86]  Tvannet?
[13.20-13.20]  Ja,
[13.28-13.56]  tvannet,
[13.66-13.76]  tvannet,
[13.76-14.50]  tvannet,
[14.50-15.86]  tvannet,
[15.86-16.68]  tvannet,
[16.76-17.08]  tvannet,
[18.54-19.00]  tvannet,
[19.00-19.20]  tvannet,
[19.20-19.20]  tvannet,
[19.48-20.02]  tvannet,
[20.02-20.22]  tvannet,
[20.22-20.22]  tvannet,
[20.22-20.38]  tvannet,
[22.54-26.10]  tvannet,
[26.78-28.18]  tvannet,
[28.18-28.18]  tvannet,
[28.18-28.18]  tvannet,
[28.18-28.18]  tvannet,
[28.18-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet,
[28.98-28.98]  tvannet.
[29.48-30.00]  For
[30.00-30.30]  hanen
[30.30-30.46]  på
[30.46-30.84]  bora
[30.84-31.08]  ligger
[31.08-31.32]  et
[31.32-31.54]  tygt
[31.54-32.56]  fortalbømme
[32.56-32.98]  bilder
[32.98-33.16]  fra
[33.16-33.32]  da
[33.32-34.62]  gærevalit.
[44.00-44.42]  Det
[44.42-45.82]  er
[45.82-46.00]  en
[46.00-46.18]  fysisk
[46.18-46.54]  skolen
[46.54-46.92]  løgte
[46.92-47.30]  gære.
[47.74-47.96]  En
[47.96-48.48]  lysløg
[48.48-48.58]  og
[48.58-48.96]  gøt
[48.96-49.32]  smille
[49.32-49.98]  såbretten
[49.98-50.32]  kan.
[50.78-50.94]  På
[50.94-51.18]  baina
[51.18-51.48]  så
[51.48-51.60]  har
[51.60-51.68]  en
[51.68-52.16]  funken
[52.16-52.36]  en
[52.36-52.46]  ny
[52.46-53.00]  joggeskolen
[53.00-53.18]  med
[53.18-53.90]  børlås.
[54.22-54.58]  Perfekt
[54.58-54.78]  for
[54.78-54.84]  en
[54.84-55.08]  liten
[55.08-55.34]  kar
[55.34-55.58]  som
[55.58-55.80]  alt
[55.80-55.90]  det
[55.90-56.12]  hadde
[56.12-56.54]  dårligt
[56.54-56.76]  hitt.
[58.08-58.64]  Jeg
[58.64-58.76]  er
[58.76-58.90]  ble
[58.90-59.18]  fette
[59.18-59.52]  nytt
[59.52-59.72]  i
[59.72-60.02]  to,
[60.22-60.30]  seg
[60.30-60.44]  en
[60.44-61.36]  parer.
[61.76-61.86]  Så
[61.86-61.98]  det
[61.98-62.10]  har
[62.10-62.24]  vi
[62.24-62.42]  inte
[62.42-62.56]  på
[62.56-63.00]  skolen,
[63.20-63.28]  så
[63.28-63.46]  var
[63.46-63.52]  en
[63.52-63.74]  bare
[63.74-63.98]  fem
[63.98-64.24]  år.
[67.50-68.04]  Han
[68.04-68.26]  var
[68.26-68.48]  en
[68.48-69.06]  veldig
[69.06-69.52]  ung
[69.52-70.76]  skolig
[70.76-71.36]  ut.
[72.36-72.78]  Følgelig
[72.78-73.28]  av
[73.28-73.68]  liv,
[74.00-74.06]  han
[74.06-74.34]  glæder
[74.34-74.78]  seg
[74.78-75.38]  veldig
[75.38-75.56]  til
[75.56-75.70]  å
[75.70-75.72]  begynne
[75.72-75.92]  på
[75.92-76.34]  skolen.
[76.66-76.80]  Han
[76.80-77.16]  hadte
[77.16-77.52]  veldig
[77.52-77.90]  mer
[77.90-78.56]  uro
[78.56-79.18]  i
[79.18-79.70]  kroppen.
[81.46-82.02]  Det
[82.02-82.20]  ble
[82.20-82.40]  ikke
[82.40-82.64]  så
[82.64-82.92]  gøy
[82.92-83.14]  som
[83.14-83.34]  han
[83.34-83.58]  trodde
[83.58-83.86]  tror
[83.86-84.32]  ikke.
[84.76-84.76]  Han
[84.76-84.92]  ble
[84.92-85.28]  en
[85.28-85.74]  lukke
[85.74-85.98]  litt
[85.98-86.44]  skuffer.
[88.00-88.30]  Han
[88.30-88.52]  er
[88.52-88.66]  ikke
[88.66-88.90]  ikke
[88.90-89.26]  lovet
[89.26-89.48]  til
[89.48-89.52]  å
[89.52-90.22]  lære
[90.22-91.10]  bokstavet
[91.10-91.36]  og
[91.36-91.94]  matte,
[92.40-92.54]  fordi
[92.54-92.80]  det
[92.80-93.00]  skulle
[93.00-93.24]  ikke
[93.24-93.38]  ikke
[93.38-93.62]  gjøre
[93.62-93.86]  en
[93.86-94.96]  1990.
[95.56-95.74]  Då
[95.74-95.94]  skulle
[95.94-96.18]  det
[96.18-96.34]  ikke
[96.34-96.68]  ha
[96.68-97.30]  legte
[97.30-97.82]  første
[97.82-98.16]  år.
[98.86-99.30]  Hva
[99.30-99.34]  er
[99.34-99.38]  det
[99.38-99.78]  ganske
[99.78-100.06]  bil
[100.06-100.28]  til
[100.28-100.44]  det
[100.44-100.92]  gjerlig?
[101.16-101.22]  Så
[101.22-101.42]  det
[101.42-101.50]  er
[101.50-101.78]  ligge
[101.78-102.44]  bil.
[102.78-102.92]  Det
[102.92-103.08]  er
[103.08-103.18]  da
[103.18-103.54]  skuffelig
[103.54-103.68]  som
[103.68-103.96]  ligge,
[104.14-104.24]  at
[104.24-104.40]  han
[104.40-104.64]  ikke
[104.64-105.00]  født
[105.00-105.24]  han
[105.24-105.68]  ikke
[105.68-106.08]  kommer
[106.08-106.50]  videre.
[107.12-107.32]  Det
[107.32-107.48]  ble
[107.48-107.66]  jeg,
[107.68-107.74]  at
[107.74-107.80]  det
[107.80-107.92]  var
[107.92-108.12]  den
[108.12-108.48]  veldig
[108.48-109.02]  urolig
[109.02-109.46]  trasse.
[110.18-110.32]  Og
[110.32-110.46]  jeg
[110.46-110.72]  var
[110.72-111.12]  med
[111.12-111.90]  blantig
[111.90-112.54]  som
[112.54-113.20]  skapte
[113.20-113.42]  med
[113.42-113.96]  uro.
[115.33-115.79]  Forlder
[115.79-115.99]  denne
[115.99-116.43]  forstå
[116.43-116.67]  at
[116.67-116.97]  Selam
[116.97-117.19]  gjer
[117.19-117.63]  stakar
[117.63-117.87]  mye
[117.87-118.09]  om
[118.09-118.73]  livsitt,
[119.05-119.09]  så
[119.09-119.19]  var
[119.19-119.27]  det
[119.27-119.47]  ikke
[119.47-119.73]  alt
[119.73-119.89]  han
[119.89-120.27]  fortalt
[120.27-120.87]  det.
[122.25-122.43]  Er
[122.43-122.47]  det
[122.47-122.73]  kjede
[122.73-123.03]  noe
[123.03-123.15]  det
[123.15-123.23]  er
[123.23-123.43]  fra?
[123.69-123.77]  Hva
[123.77-123.83]  er
[123.83-123.97]  det
[123.97-124.29]  med
[124.29-124.83]  lømme?
[125.11-125.13]  Hva
[125.13-125.19]  er
[125.19-125.31]  det
[125.31-125.53]  kjede
[125.53-126.31]  noe?
[126.89-127.05]  Og
[127.05-127.23]  gjer
[127.23-127.29]  det
[127.29-127.49]  opp
[127.49-127.63]  år,
[127.81-127.81]  så
[127.81-128.05]  kjede
[128.05-128.39]  noe.
[129.99-130.15]  Det
[130.15-130.29]  har
[130.29-130.45]  jo
[130.45-130.49]  en
[130.49-130.79]  fikkert
[130.79-130.87]  med
[130.87-131.01]  det
[131.01-131.27]  egentlig
[131.27-131.57]  aldri
[131.57-132.05]  taker,
[132.31-132.53]  men
[132.53-132.61]  det
[132.61-132.61]  var
[132.61-132.71]  det
[132.71-132.91]  var.
[138.23-138.69]  Hva
[138.69-138.71]  er
[138.71-138.85]  så
[138.85-139.17]  snilig
[139.17-139.49]  ikke
[139.49-140.49]  moralisert?
[141.03-141.19]  Han
[141.19-141.43]  kommer
[141.43-141.57]  til
[141.57-141.57]  å
[141.57-141.81]  gjøre
[141.81-142.07]  det
[142.07-142.81]  uansett,
[142.99-143.11]  han
[143.11-143.37]  har
[143.37-143.61]  alle
[143.61-144.07]  reddalt.
[144.49-144.93]  Han
[144.93-145.09]  trengt
[145.09-145.35]  bare
[145.35-145.55]  i
[145.55-145.59]  en
[145.59-146.11]  socialen
[146.11-146.49]  kursen
[146.49-146.57]  han
[146.57-146.75]  skal
[146.75-146.99]  gjøre
[146.99-147.17]  et
[147.17-147.63]  antrykt.
[148.27-148.31]  I
[148.31-148.55]  de
[148.55-148.77]  første
[148.77-149.23]  svarene
[149.23-149.37]  er
[149.37-149.47]  på
[149.47-149.91]  trondig
[149.91-150.17]  gair
[150.17-150.37]  på
[150.37-151.03]  frikforum,
[151.13-151.27]  så
[151.27-151.81]  diskuterer
[151.81-152.05]  folk
[152.05-152.27]  om
[152.27-152.87]  derikte
[152.87-153.07]  og
[153.07-153.51]  hjælpe
[153.51-153.87]  noen
[153.87-154.05]  og
[154.05-154.37]  starte
[154.37-154.49]  med
[154.49-154.63]  har
[154.63-155.01]  join,
[155.27-155.35]  eller
[155.35-155.53]  om
[155.53-155.57]  det
[155.57-155.91]  beste
[155.91-156.09]  er
[156.09-156.23]  jo
[156.23-156.47]  ikke
[156.47-157.09]  svarer
[157.09-157.25]  så
[157.25-157.41]  nåt
[157.41-157.53]  han
[157.53-157.79]  kan
[157.79-158.11]  skikke
[158.11-158.51]  prøver
[158.51-158.69]  i
[158.69-158.77]  det
[158.77-158.97]  hele
[158.97-159.63]  tatt.
[160.33-160.57]  Gair
[160.57-161.03]  svarer
[161.03-161.23]  at
[161.23-161.35]  det
[161.35-161.79]  uansetta
[161.79-161.89]  er
[161.89-162.47]  forskeint.
[163.09-163.09]  Han
[163.09-163.41]  skriver
[163.41-163.61]  at
[163.61-163.79]  han
[163.79-163.93]  har
[163.93-164.37]  allerede
[164.37-164.67]  bitt
[164.67-165.01]  ut
[165.01-165.27]  to
[165.27-165.99]  ganger.
[166.65-166.73]  Og
[166.73-166.87]  så
[166.87-166.95]  at
[166.95-167.13]  han
[167.13-167.65]  andre
[167.65-167.91]  har
[167.91-168.15]  in
[168.15-168.15]  i
[168.15-168.37]  set
[168.37-168.59]  har
[168.59-168.87]  join
[168.87-168.97]  i
[168.97-169.25]  han
[169.25-169.49]  med
[169.49-170.61]  sprøtte.
[172.29-172.37]  Så
[172.37-172.67]  denne
[172.67-173.07]  kjellene
[173.07-173.19]  har
[173.19-173.55]  veredet
[173.55-174.01]  tappt.
[177.46-177.90]  Kødder.
[178.72-178.86]  Ha
[178.86-179.04]  større
[179.04-179.26]  vant
[179.26-179.50]  sker
[179.50-179.74]  må
[179.74-179.90]  hove
[179.90-180.06]  en
[180.06-180.26]  annik
[180.26-180.48]  å
[180.48-180.72]  tiden
[180.72-180.94]  den
[180.94-181.04]  her
[181.04-181.30]  uin?
[183.66-183.78]  Det
[183.78-184.06]  betyr
[184.06-184.34]  her
[184.34-184.58]  uin
[184.58-185.06]  abben
[185.06-185.76]  sker
[185.76-186.18]  sammen
[186.18-186.34]  med
[186.34-186.66]  cirka
[186.66-186.98]  2
[186.98-187.38] .0
[187.38-187.50]  til
[187.50-187.78]  van.
[188.90-189.26]  Stikene
[189.26-189.38]  er
[189.38-189.48]  på
[189.48-190.16]  spredetrumene.
[191.26-191.30]  Det
[191.30-191.34]  er
[191.34-191.46]  for
[191.46-191.58]  du
[191.58-191.92]  skikker,
[192.02-192.16]  man
[192.16-192.30]  får.
[194.28-194.72]  Lål,
[194.72-194.92]  jeg
[194.92-195.04]  skal
[195.04-195.38]  kyrre
[195.38-195.80]  rannå
[195.80-196.06]  åke
[196.06-196.24]  som
[196.24-196.72]  helst
[196.72-197.12]  booktet
[197.12-197.32]  for
[197.32-197.66]  høyene.
[199.14-199.34]  I
[199.34-199.76]  skjer.
[200.70-200.86]  Det
[200.86-200.86]  er
[200.86-201.68]  første
[201.68-201.90]  gang
[201.90-202.28]  inn.
[202.48-202.60]  Hvil
[202.60-202.70]  du
[202.70-202.90]  ikke
[202.90-203.08]  si
[203.08-203.26]  at
[203.26-203.48]  jeg
[203.48-203.70]  står
[203.70-204.08]  for
[204.08-204.30]  at
[204.30-204.44]  du
[204.44-204.68]  løger
[204.68-204.94]  et
[204.94-205.12]  er
[205.12-205.20]  vi
[205.20-205.54]  varne
[205.54-205.68]  for
[205.68-205.92]  dem
[205.92-206.02]  med
[206.02-206.24]  nola?
[206.51-206.81]  som
[206.81-206.93]  du
[206.93-207.11]  kan
[207.11-207.35]  kjalt
[207.35-207.79]  rekommere
[207.79-208.03]  ut
[208.03-208.97]  da.
[209.27-209.61]  Taket.
[210.95-211.37]  Gjerd
[211.37-211.77]  skriver
[211.77-212.05]  at
[212.05-212.23]  han
[212.23-212.33]  alle
[212.33-212.67]  redde
[212.67-212.99]  har
[212.99-213.37]  røkket
[213.37-213.55]  her
[213.55-213.67]  i
[213.67-214.69]  inspiradesk
[214.69-214.79]  i
[214.79-214.93]  et
[214.93-215.17]  halvt
[215.17-215.45]  år.
[217.51-217.71]  Følg
[217.71-217.75]  meg
[217.75-217.93]  han
[217.93-218.05]  skal
[218.05-218.37]  sikke
[218.37-218.49]  på
[218.49-218.63]  at
[218.63-218.87]  dette
[218.87-219.03]  er
[219.03-219.21]  et
[219.21-219.41]  stoppe,
[219.49-219.63]  ikke
[219.63-219.85]  kommer
[219.85-219.99]  til
[219.99-220.01]  å
[220.01-220.27]  miste
[220.27-220.69]  kontrollen
[220.69-220.83]  av
[220.83-221.21]  uge.
[222.55-222.75]  Her
[222.75-223.05]  uin
[223.05-223.25]  er
[223.25-223.35]  ikke
[223.35-223.49]  noe
[223.49-223.65]  man
[223.65-224.03]  lærke,
[224.25-224.51]  men
[224.51-224.69]  når
[224.69-225.05]  første
[225.05-225.47]  råster,
[225.59-225.61]  det
[225.61-225.77]  har
[225.77-226.17]  bestemt
[226.17-226.51]  seg,
[226.63-226.71]  så
[226.71-226.93]  løver
[226.93-227.09]  han
[227.09-227.43]  kjørs
[227.43-227.53]  i
[227.53-227.71]  deg
[227.71-228.07]  utløb,
[228.21-228.31]  ikke
[228.31-229.61]  samt.
[229.83-230.11]  Rænne
[230.11-230.27]  man
