--- Chunk 0 ---
[5.37-5.85]  Hei!
[177.45-177.75]  kommer
[177.75-177.99]  dette
[177.99-178.37]  fra?
[179.93-180.33]  Vi
[180.33-180.65]  visste
[180.65-180.77]  å
[180.77-180.97]  komme
[180.97-181.21]  om
[181.21-181.49]  å
[181.49-181.79]  området
[181.79-182.05]  i
[182.05-182.39]  kvelden.
[184.29-184.77]  Fann
[184.77-184.89]  jeg
[184.89-185.05]  man
[185.05-185.27]  noen
[185.27-185.45]  å
[185.45-185.57]  nå
[185.57-186.01]  overdose?
[186.51-186.73]  Heltet
[186.73-186.97]  faen?
[188.05-188.23]  Nå
[188.23-188.63]  står
[188.63-188.93]  han,
[189.01-189.95]  men...
[189.77-190.09]  Den
[190.09-190.47]  svært
[190.47-191.11]  sprøytte
[191.11-191.17]  jeg
[191.17-191.41]  høn
[191.41-191.57]  nå
[191.57-191.93]  og
[191.93-192.17]  sa,
[192.39-192.43]  at
[192.43-192.85]  politi
[192.85-193.05]  ikke
[193.05-193.35]  måtte
[193.35-193.67]  komme
[193.67-194.63]  nærhang
[194.63-194.83]  for
[194.83-194.97]  det.
[196.03-196.23]  Nå
[196.23-197.07]  vil
[197.07-197.21]  jeg
[197.21-197.47]  gjøre
[197.47-197.99]  slutt
[197.99-198.35]  for
[198.35-198.55]  alt
[198.55-198.71]  det.
[199.69-199.87]  I
[199.87-200.11]  denne
[200.11-200.45]  serien
[200.45-200.73]  skal
[200.73-200.85]  vi
[200.85-201.29]  følge
[201.29-201.57]  gjer
[201.57-201.99]  gjennom
[201.99-202.47]  trånans
[202.47-202.71]  på
[202.71-203.35]  frikforme.
[204.03-204.35]  Både
[204.35-204.59]  gjennom
[204.59-204.73]  det
[204.73-204.79]  jeg
[204.79-205.03]  skrev
[205.03-205.51]  kjørd,
[205.65-205.73]  men
[205.73-205.89]  også
[205.89-206.05]  det
[206.05-206.57]  andre
[206.57-206.87]  skrev
[206.87-207.05]  til
[207.05-207.25]  ham.
[208.45-208.93]  Måde
[208.93-209.11]  er
[209.11-209.21]  det
[209.21-209.49]  prøv
[209.49-209.53]  å
[209.53-209.89]  forstå.
[210.43-210.65]  Hva
[210.65-210.81]  er
[210.81-210.93]  det
[210.93-211.05]  som
[211.05-211.25]  får
[211.25-211.49]  en
[211.49-211.63]  til
[211.63-212.29]  synglattne
[212.29-212.41]  en
[212.41-212.65]  ganske
[212.65-213.25]  vanlig
[213.25-213.77]  kjøring
[213.77-214.09]  til
[214.09-214.19]  å
[214.19-214.61]  beamjære
[214.61-214.93]  til
[214.93-215.05]  å
[215.05-215.37]  starte
[215.37-215.49]  med
[215.49-215.61]  her
[215.61-215.71]  og
[215.71-215.83]  inn?
[216.83-216.93]  Og
[216.93-217.13]  kunde
[217.13-217.57]  noen?
[217.74-218.12]  Enten
[218.12-218.18]  inn
[218.18-218.32]  på
[218.32-218.76]  frik
[218.76-218.96]  eller
[218.96-219.24]  rundt
[219.24-219.88]  geirskjørd,
[220.22-220.36]  sagt
[220.36-220.50]  at
[220.50-220.56]  det
[220.56-220.62]  er
[220.62-220.72]  gjort
[220.72-221.16]  noe
[221.16-221.40]  for
[221.40-221.48]  å
[221.48-221.88]  hindre
[221.88-222.12]  at
[222.12-222.26]  de
[222.26-222.40]  ikke
[222.40-222.56]  som
[222.56-222.66]  de
[222.66-222.98]  ikke.
[228.16-228.68]  Rett
[228.68-228.90]  bak
[228.90-229.16]  den
[229.16-229.44]  store
[229.44-230.18]  travbanen
[230.18-230.28]  på
[230.28-230.98]  Verkjorslå
[230.98-231.44]  ligger
[231.44-231.86]  altså
[231.86-232.02]  der
[232.02-232.22]  øve
[232.22-232.64]  huset
[232.64-233.56]  geirvokstoppig.
[236.66-237.18]  Kjøkken
[237.18-237.58]  induster
[237.58-238.24]  oppendt
[238.24-238.34]  og
[238.34-238.66]  lyden
[238.66-238.78]  for
[238.78-238.84]  å
[238.84-239.54]  travbanen
[239.54-239.74]  bare
[239.74-239.98]  helt.

--- Chunk 1 ---
[0.00-0.12]  Helt
[0.12-0.26]  i
[0.26-0.38]  en
[0.38-1.18]  timokkamersterm
[1.18-1.36]  på
[1.36-1.68]  benken.
[11.20-11.60]  Hva
[11.60-11.84]  kan
[11.84-12.04]  fyr
[12.04-12.16]  du,
[12.34-12.70]  Tvannne?
[12.90-13.06]  Ja,
[13.18-13.36]  Tvann,
[13.36-13.54]  det
[13.54-13.62]  er
[13.62-13.88]  kognas.
[18.18-18.58]  Bjør
[18.58-18.68]  i
[18.68-18.76]  går
[18.76-19.24]  torarne
[19.24-19.50]  er
[19.50-19.98]  forheldrat
[19.98-20.20]  i
[20.20-20.36]  gaj.
[22.56-22.96]  Kaffekoppene
[22.96-23.08]  er
[23.08-23.48]  placeres
[23.48-23.64]  på
[23.64-23.72]  et
[23.72-23.94]  litet
[23.94-24.14]  bor.
[24.56-24.64]  Bakker
[24.64-24.72]  at
[24.72-24.90]  nok
[24.90-25.26]  plass
[25.26-25.42]  til
[25.42-25.64]  tre
[25.64-26.20]  personer.
[26.58-26.68]  Det
[26.68-26.82]  var
[26.82-26.92]  jo
[26.92-27.04]  bare
[27.04-27.22]  dem
[27.22-27.42]  tre
[27.42-27.94]  familien.
[29.54-30.10]  Foran
[30.10-30.28]  enn
[30.28-30.36]  på
[30.36-30.64]  bore
[30.64-30.98]  ligger
[30.98-31.20]  et
[31.20-31.46]  tykt
[31.46-32.24]  fotalbøm
[32.24-32.50]  med
[32.50-32.88]  bilder
[32.88-33.08]  fra
[33.08-33.44]  dageghære
[33.44-33.88]  valgt.
[43.64-44.20]  Her.
[45.26-45.72]  Der
[45.72-45.84]  har
[45.84-45.88]  jeg
[45.88-46.16]  første
[46.16-46.48]  skole
[46.48-46.76]  lagt
[46.76-47.22]  degeghære.
[47.70-47.84]  En
[47.84-48.34]  lysslug
[48.34-48.48]  og
[48.48-48.92]  gutt
[48.92-49.30]  smiler
[49.30-49.52]  så
[49.52-49.76]  brett
[49.76-49.88]  han
[49.88-50.06]  kan.
[50.76-50.82]  På
[50.82-51.16]  beina
[51.16-51.38]  så
[51.38-51.48]  har
[51.48-51.56]  han
[51.56-52.12]  flunkene
[52.12-52.28]  en
[52.28-52.34]  ny
[52.34-52.76]  jobbisk
[52.76-53.04]  omed
[53.04-53.70]  burrelås.
[54.08-54.56]  Perfekt
[54.56-54.68]  for
[54.68-54.78]  en
[54.78-54.98]  liten
[54.98-55.20]  kar
[55.20-55.52]  som
[55.52-55.80]  alltid
[55.80-56.04]  hadde
[56.04-56.40]  dårligt
[56.40-56.56]  tid.
[58.00-58.52]  Jeg
[58.52-58.66]  er
[58.66-58.78]  ble
[58.78-59.10]  fedt
[59.10-59.16]  i
[59.16-59.80]  92
[59.80-60.28] -sign
[60.28-60.74] -påre,
[61.58-61.78]  så
[61.78-62.04]  beham
[62.04-62.36]  bynte
[62.36-62.48]  på
[62.48-62.90]  skolen,
[63.08-63.20]  så
[63.20-63.36]  var
[63.36-63.46]  han
[63.46-63.66]  bare
[63.66-63.86]  fem
[63.86-64.10]  år.
[67.38-67.92]  Han
[67.92-68.14]  var
[68.14-68.34]  en
[68.34-68.78]  veldig
[68.78-69.20]  ung
[69.20-71.04]  skolegutt,
[71.64-72.50]  full
[72.50-72.94]  av
[72.94-73.40]  liv.
[73.90-73.96]  Han
[73.96-74.32]  gleder
[74.32-74.50]  seg
[74.50-75.24]  veldig
[75.24-75.42]  til
[75.42-75.50]  å
[75.50-75.64]  byne
[75.64-75.78]  på
[75.78-76.18]  skolen,
[76.50-76.60]  og
[76.60-76.76]  han
[76.76-77.08]  hadde
[77.08-77.46]  veldig
[77.46-77.80]  mye
[77.80-78.24]  euro
[78.24-78.80]  i
[78.80-79.56]  kroppen.
[81.42-81.96]  Det
[81.96-82.12]  ble
[82.12-82.28]  ikke
[82.28-82.54]  så
[82.54-82.82]  gøy
[82.82-83.04]  som
[83.04-83.18]  han
[83.18-83.56]  trodde,
[83.62-83.80]  tror
[83.80-83.92]  jeg.
[84.42-84.60]  Han
[84.60-84.82]  ble
[84.82-85.10]  nok
[85.10-85.78]  litt
[85.78-86.32]  skuffa,
[86.46-86.76]  både
[86.76-86.94]  å
[86.94-87.12]  være
[87.12-87.38]  at
[87.38-87.48]  det.
[88.00-88.20]  Han
[88.20-88.48]  ikke
[88.48-88.78]  fikk
[88.78-89.16]  lov
[89.16-89.34]  til
[89.34-89.46]  å
[89.46-89.86]  lære
[89.86-90.90]  vokstava
[90.90-91.28]  og
[91.28-91.68]  matte,
[92.28-92.38]  for
[92.38-92.48]  det
[92.48-92.90]  skulle
[92.90-93.18]  ikke
[93.18-93.58]  gjøre
[93.58-93.74]  i
[93.74-94.46]  1990.
[95.42-95.62]  Då
[95.62-95.88]  skulle
[95.88-96.12]  de
[96.12-96.34]  ha
[96.34-97.18]  legte
[97.18-97.74]  første
[97.74-98.16]  åre.
[98.80-99.04]  Det
[99.04-99.16]  var
[99.16-99.30]  jo
[99.30-99.68]  ganske
[99.68-100.18]  bitet
[100.18-100.70]  begjærelig,
[101.00-101.12]  så
[101.12-101.26]  det
[101.26-101.34]  ble
[101.34-101.74]  ligget
[101.74-101.98]  bøl.
[102.74-102.74]  Og
[102.74-102.86]  det
[102.86-102.98]  er
[102.98-102.98]  det
[102.98-103.06]  jeg
[103.06-103.20]  skulle
[103.20-103.40]  føle
[103.40-103.56]  seg
[103.56-103.92]  livet,
[104.06-104.22]  at
[104.22-104.32]  han
[104.32-104.50]  ikke
[104.50-104.88]  følte,
[104.98-105.10]  han
[105.10-105.34]  ikke
[105.34-105.94]  kom
[105.94-106.12]  noe
[106.12-106.42]  videre.
[107.00-107.18]  Det
[107.18-107.54]  blei,
[107.56-107.68]  at
[107.68-107.74]  det
[107.74-107.82]  var
[107.82-108.02]  en
[108.02-108.38]  veldig
[108.38-108.96]  urolig
[108.96-109.32]  plasse.
[110.16-110.16]  Og
[110.16-110.34]  jeg
[110.34-110.66]  var
[110.66-111.00]  med
[111.00-111.64]  blandt
[111.64-111.72]  i
[111.72-112.04]  som
[112.04-113.06]  skapte
[113.06-113.26]  med
[113.26-113.80]  uro.
[115.33-115.81]  Foreldrene
[115.81-116.29]  forstod
[116.29-116.55]  at
[116.55-116.91]  selvom
[116.91-117.07]  gjer
[117.07-117.51]  stocken
[117.51-117.87]  mye
[117.87-117.99]  om
[117.99-118.27]  livet
[118.27-118.59]  sitt,
[118.95-119.01]  så
[119.01-119.09]  var
[119.09-119.19]  det
[119.19-119.29]  ikke
[119.29-119.59]  alt
[119.59-119.81]  han
[119.81-120.33]  fortaltet.
[121.91-122.25]  Det
[122.25-122.25]  er
[122.25-122.41]  det
[122.41-122.73]  skjedde
[122.73-122.93]  noe,
[123.05-123.05]  det
[123.05-123.15]  er
[123.15-123.27]  for
[123.27-123.45]  han
[123.45-123.63]  var
[123.63-124.19]  med
[124.19-124.53]  løm
[124.53-125.31]  28
[125.31-125.85]  og
[125.85-126.01]  9
[126.01-126.25]  år,
[126.69-126.95]  og
[126.95-127.17]  gjer
[127.17-127.23]  det
[127.23-127.49]  oppbord,
[127.55-127.67]  så
[127.67-128.03]  skjedde
[128.03-128.15]  det
[128.15-128.39]  noe.
[129.91-130.07]  Det
[130.07-130.21]  har
[130.21-130.35]  vi
[130.35-130.59]  ikke
[130.59-130.83]  begynnet
[130.83-131.17]  egentlig
[131.17-131.41]  alltid
[131.41-132.01]  uttaket.
[132.41-132.43]  Hva
[132.43-132.61]  de
[132.61-132.79]  er.
[138.09-138.57]  Hva
[138.57-138.63]  er
[138.63-138.75]  så
[138.75-139.07]  snillet
[139.07-139.39]  ikke
[139.39-140.27]  moralisert?
[140.91-141.09]  Han
[141.09-141.29]  kommer
[141.29-141.45]  til
[141.45-141.51]  å
[141.51-141.73]  gjøre
[141.73-141.87]  det
[141.87-142.51]  uansett
[142.51-143.01]  han
[143.01-143.21]  har
[143.21-143.71]  alrede
[143.71-143.85]  art.
[144.49-144.83]  Han
[144.83-145.07]  trenger
[145.07-145.27]  bare
[145.27-145.95]  instruktionen
[145.95-146.03]  av
[146.03-146.41]  korsen
[146.41-146.49]  han
[146.49-146.65]  skal
[146.65-146.89]  gjøre
[146.89-147.07]  det
[147.07-147.15]  at
[147.15-147.21]  han
[147.21-147.61]  trykkt.
[148.11-148.25]  I
[148.25-148.35]  de
[148.35-148.71]  første
[148.71-149.11]  svarer,
[149.15-149.21]  når
[149.21-149.25]  jeg
[149.25-149.37]  på
[149.37-149.71]  trånt
[149.71-149.85]  i
[149.85-150.13]  Geir
[150.13-150.27]  på
[150.27-150.87]  frikforum,
[151.09-151.19]  så
[151.19-151.69]  diskuterer
[151.69-151.87]  folk
[151.87-152.15]  om
[152.15-152.25]  det
[152.25-152.35]  er
[152.35-152.77]  riktig
[152.77-152.95]  og
[152.95-153.23]  hjert
[153.23-153.49]  be
[153.49-153.81]  noen
[153.81-153.93]  hva
[153.93-154.19]  starter
[154.19-154.39]  med
[154.39-154.51]  her
[154.51-154.59]  og
[154.59-154.77]  inn.
[155.13-155.27]  Eller
[155.27-155.41]  om
[155.41-155.51]  det
[155.51-155.79]  beste
[155.79-155.97]  er
[155.97-156.09]  å
[156.09-156.35]  ikke
[156.35-156.81]  svarre,
[157.07-157.17]  så
[157.17-157.31]  noe
[157.31-157.41]  han
[157.41-157.85]  kanskje
[157.85-158.05]  ikke
[158.05-158.45]  prøver
[158.45-158.57]  i
[158.57-158.67]  det
[158.67-158.87]  hele
[158.87-159.05]  tatt.
[160.27-160.47]  Geir
[160.47-160.93]  svarer
[160.93-161.17]  at
[161.17-161.27]  det
[161.27-161.27]  er
[161.27-161.59]  uansett
[161.59-161.71]  det
[161.71-161.79]  er
[161.79-162.57]  forsjegendt.
[162.87-162.97]  Han
[162.97-163.33]  skriver
[163.33-163.55]  at
[163.55-163.67]  han
[163.67-163.85]  har
[163.85-164.05]  alle
[164.05-164.35]  redder
[164.35-164.53]  blitt
[164.53-164.83]  skutt
[164.83-165.15]  to
[165.15-165.47]  ganger.
[166.45-166.75]  Altså
[166.75-166.91]  at
[166.91-167.01]  han
[167.01-167.59]  andre
[167.59-167.79]  har
[167.79-168.29]  initiert
[168.29-168.45]  her
[168.45-168.59]  og
[168.59-168.79]  inn
[168.79-168.89]  i
[168.89-169.03]  han
[169.03-169.39]  med
[169.39-169.85]  sprøyter.
[171.89-172.29]  Så
[172.29-172.57]  denne
[172.57-172.91]  kjelen
[172.91-173.07]  har
[173.07-173.39]  reddet
[173.39-173.83]  tappt.
[177.32-177.84]  Kødder.
[178.64-178.72]  Ha
[178.72-178.98]  større
[178.98-179.42]  vansker
[179.42-179.58]  med
[179.58-179.80]  hål
[179.80-179.90]  med
[179.90-180.04]  en
[180.04-180.60]  anikotin,
[180.74-180.82]  den
[180.82-180.94]  her
[180.94-181.04]  og
[181.04-181.18]  inn.
[183.18-183.70]  Du
[183.70-184.04]  betyr
[184.04-184.18]  her
[184.18-184.32]  og
[184.32-184.48]  inn
[184.48-184.86]  oppe
[184.86-185.02]  en
[185.02-185.30]  kje,
[185.52-186.06]  sammen
[186.06-186.24]  med
[186.24-186.56]  cirka
[186.56-186.90]  2
[186.90-187.18]  meter
[187.18-187.52]  van.
[188.74-189.06]  Stik
[189.06-189.20]  ned
[189.20-189.36]  på
[189.36-189.94]  spretrummet,
[190.08-191.22]  det
[191.22-191.38]  får
[191.38-191.48]  du
[191.48-191.82]  sikre
[191.82-192.10]  information.
[194.12-194.64]  Nala
[194.64-194.94]  skal
[194.94-195.16]  ikke
[195.16-195.34]  røre
[195.34-195.58]  han
[195.58-195.96]  åke
[195.96-196.14]  som
[196.14-196.60]  helst
[196.60-196.90]  bort
[196.90-197.04]  sett
[197.04-197.60]  hunden.
[199.06-199.42]  Ikke.
[200.24-200.76]  Hva
[200.76-200.90]  får
[200.90-201.32]  siktig
[201.32-201.62]  første
[201.62-201.94]  gangen?
[202.38-202.76]  Villåg
[202.76-203.00]  sige
[203.00-203.18]  at
[203.18-203.30]  det
[203.30-203.36]  er
[203.36-203.60]  stor
[203.60-204.00]  farre
[204.00-204.14]  for
[204.14-204.24]  at
[204.24-204.38]  du
[204.38-204.58]  lager
[204.58-204.78]  et
[204.78-205.44]  evigvarene
[205.44-205.64]  for
[205.64-205.74]  å
[205.74-205.86]  med
[205.86-206.14]  Nala.
[206.51-206.75]  Som
[206.75-206.85]  du
[206.85-207.15]  kanskje
[207.15-207.41]  aldri
[207.41-207.61]  kommer
[207.61-207.75]  deg
[207.75-208.01]  ute.
[209.15-209.31]  Take
[209.31-209.71]  care.
[210.89-211.29]  Geir
[211.29-211.67]  skriver
[211.67-211.97]  at
[211.97-212.09]  han
[212.09-212.29]  alle
[212.29-212.55]  redde
[212.55-212.83]  har
[212.83-213.29]  røkker
[213.29-213.43]  hver
[213.43-213.51]  hver
[213.51-213.57]  hver
[213.57-213.63]  hver
[213.63-213.97]  hver
[213.97-214.13]  hver
[214.13-214.27]  hver
[214.27-214.27]  hver
[214.27-214.31]  hver
[214.31-214.85]  hver
[214.85-215.45]  hver
[215.45-216.07]  hver
[216.07-216.07]  hver
[216.07-216.97]  hver
[216.97-216.97]  hver
[216.97-216.97]  hver
[216.97-217.55]  hver
[217.55-217.55]  hver
[217.55-217.55]  hver
[217.55-217.55]  hver
[217.55-217.55]  hver
[217.55-217.55]  hver
[217.55-217.55]  hver
[217.55-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.61]  hver
[217.61-217.65]  hver
[217.65-217.65]  hver
[217.65-217.65]  hver
[217.65-217.65]  hver
[217.65-217.65]  hver
[217.65-217.71]  hver
[217.71-224.13]  hver
[224.13-224.99]  hver
[224.99-229.73]  hver
[229.73-233.49]  hver
[233.74-234.04]  I
[234.04-234.44]  fleste
[234.44-234.64]  vet
[234.64-234.66]  jeg
[234.66-234.90]  at
[234.90-235.22]  reddatt
[235.22-235.64]  skjyttene
[235.64-235.76]  har
[235.76-235.90]  hun
[235.90-236.32]  ikke
