--- Chunk 0 ---
[0.33-0.83]  Hey,
[101.57-101.79]  that's
[101.79-101.85]  going
[101.85-101.97]  to
[101.97-102.13]  turn
[102.13-102.33]  out.
[102.61-102.71]  A
[102.71-103.09]  popular
[103.09-103.63]  college
[103.63-104.15]  student
[104.15-104.57]  murdered
[104.57-105.07]  a
[105.07-105.35]  case
[105.35-105.65]  that
[105.65-105.99]  dragged
[105.99-106.29]  on
[106.29-106.57]  for
[106.57-107.07]  years.
[107.61-107.75]  Good
[107.75-108.45]  revelations
[108.45-108.81]  during
[108.81-108.97]  a
[108.97-109.45]  party
[109.45-110.01]  finally
[110.01-110.49]  solved
[110.49-110.69]  the
[110.69-111.09]  mystery.
[111.93-112.09]  I'm
[112.09-112.45]  Lester
[112.45-112.79]  Holt
[112.79-113.31]  and
[113.31-113.51]  this
[113.51-113.67]  is
[113.67-114.15]  Dateline.
[122.81-123.55]  Here's
[123.55-123.83]  Blaine
[123.83-124.33]  Alexander
[124.33-124.93]  with
[124.93-125.81]  Murder
[125.81-126.35]  in
[126.35-126.61]  My
[126.61-126.83]  Not.
[135.56-135.94]  The
[135.94-136.32]  town
[136.32-136.72]  is
[136.72-137.40]  mostly
[137.40-137.84]  quiet
[137.84-138.20]  now.
[139.40-139.76]  Just
[139.76-139.96]  a
[139.96-140.14]  few
[140.14-140.72]  stores
[140.72-141.00]  line
[141.00-141.20]  the
[141.20-141.62]  streets.
[142.38-142.64]  But
[142.64-142.90]  ride
[142.90-143.24]  through
[143.24-143.52]  this
[143.52-143.96]  small
[143.96-144.46]  North
[144.46-144.64]  Dakota
[144.64-145.40]  community
[145.40-146.08]  and
[146.08-146.30]  you'll
[146.30-146.58]  see
[146.58-146.80]  them.
[147.42-147.68]  These
[147.68-148.00]  weather
[148.00-148.44] -worn
[148.44-148.86]  pink
[148.86-149.48]  ribbons
[149.48-150.24]  and
[150.24-150.36]  a
[150.36-150.64]  faded
[150.64-151.26]  photograph
[151.26-151.56]  of
[151.56-151.66]  a
[151.66-151.90]  young
[151.90-152.26]  woman
[152.26-153.08]  no
[153.08-153.38]  one
[153.38-153.80]  here
[153.80-154.16]  can
[154.16-154.80]  forget.
[156.06-156.82]  Reminders
[156.82-157.10]  of
[157.10-157.52]  what
[157.52-157.74]  this
[157.74-158.04]  place
[158.04-158.32]  has
[158.32-158.58]  been
[158.58-159.12]  through.
[159.82-160.10]  Of
[160.10-160.24]  a
[160.24-160.72]  mystery
[160.72-161.02]  that
[161.02-161.54]  spanned
[161.54-162.16]  nearly
[162.16-162.70]  two
[162.70-163.22]  decades.
[164.03-164.37]  You
[164.37-164.57]  talk
[164.57-164.75]  to
[164.75-165.05]  police.
[165.73-165.99]  All
[165.99-166.05]  the
[166.05-166.23]  time.
[166.79-166.89]  All
[166.89-166.99]  the
[166.99-167.17]  time.
[167.79-168.01]  For
[168.01-168.13]  the
[168.13-168.27]  whole
[168.27-168.61]  18
[168.61-168.97]  years.
[170.31-170.45]  This
[170.45-170.85]  story
[170.85-171.09]  is
[171.09-171.29]  about
[171.29-171.45]  a
[171.45-171.61]  young
[171.61-172.21]  student,
[172.63-172.71]  a
[172.71-172.91]  way
[172.91-173.11]  at
[173.11-173.49]  college,
[174.05-174.29]  killed
[174.29-174.49]  in
[174.49-174.69]  her
[174.69-175.03]  own
[175.03-175.51]  bedroom,
[176.17-176.47]  and
[176.47-176.75]  about
[176.75-176.93]  the
[176.93-177.35]  family
[177.35-177.57]  and
[177.57-178.05]  friends
[178.05-178.49]  who
[178.49-178.85]  never
[178.85-179.31]  stopped
[179.31-179.79]  pressing
[179.79-180.05]  for
[180.05-180.49]  answers.
[181.09-181.39]  We're
[181.39-181.53]  not
[181.53-181.79]  forgetting
[181.79-182.13]  about
[182.13-182.37]  this.
[182.67-182.75]  We
[182.75-183.07]  weren't
[183.07-183.19]  gonna
[183.19-183.29]  give
[183.29-183.43]  up.
[183.63-183.75]  She
[183.75-184.01]  wouldn't
[184.01-184.21]  have.
[184.91-185.25]  We
[185.25-185.55]  weren't
[185.55-185.69]  going
[185.69-185.89]  to.
[191.87-192.39]  Tell
[192.39-192.53]  me
[192.53-193.01]  about...
[193.02-193.70]  Butanorth
[193.70-194.02]  Dakota.
[194.86-195.86]  Butanorth
[195.86-195.86]  Dakota.
[195.86-195.86]  Butanorth
[195.86-196.20]  Dakota.
[196.20-196.20]  Butanorth
[196.20-197.26]  Dakota.
[197.62-198.22]  Butanorth
[198.22-198.22]  Dakota.
[198.22-198.22]  Butanorth
[198.22-198.22]  Dakota.
[198.22-198.22]  Butanorth
[198.22-198.22]  Dakota.
[198.22-198.22]  Butanorth
[198.22-198.22]  Dakota.
[198.22-198.24]  Butanorth
[198.24-198.24]  Dakota.
[198.24-198.88]  Butanorth
[198.88-198.88]  Dakota.
[198.88-198.88]  Butanorth
[198.88-198.88]  Dakota.
[198.88-199.20]  Butanorth
[199.20-199.28]  Dakota.
[199.28-199.54]  Butanorth
[199.54-199.72]  Dakota.
[201.00-201.56]  Butanorth
[201.56-201.92]  Dakota.
[201.92-202.10]  Butanorth
[202.10-202.78]  Dakota.
[202.78-202.78]  Butanorth
[202.78-202.78]  Dakota.
[202.78-202.78]  Butanorth
[202.78-202.78]  Dakota.
[202.78-202.78]  Butanorth
[202.78-202.78]  Dakota.
[204.16-205.16]  Butanorth
[205.16-205.38]  Dakota.
[206.76-207.76]  Butanorth
[207.76-208.86]  Dakota.
[209.26-209.60]  Butanorth
[209.60-209.60]  Dakota.
[209.60-209.60]  Butanorth
[209.60-209.60]  Dakota.
[209.60-210.36]  Butanorth
[210.36-211.14]  Dakota.
[211.14-211.40]  Butanorth
[211.40-212.18]  Dakota.
[212.18-212.22]  Butanorth
[212.22-212.22]  Dakota.
[212.22-212.22]  Butanorth
[212.22-212.22]  Dakota.
[212.22-212.22]  Butanorth
[212.22-212.22]  Dakota.
[212.22-212.22]  Butanorth
[212.22-212.22]  Dakota.
[212.22-212.22]  Butanorth
[212.22-212.22]  Dakota.
[212.22-212.22]  Butanorth
[212.22-212.22]  Dakota.
[212.22-212.22]  Butanorth
[212.22-212.22]  Dakota.
[212.22-212.22]  Butanorth
[212.22-212.22]  Dakota.
[213.44-214.44]  Butanorth
[214.44-214.74]  Dakota.
[214.74-214.74]  Butanorth
[214.74-214.92]  Dakota.
[215.74-216.24]  Butanorth
[216.24-216.30]  Dakota.
[216.68-217.22]  Butanorth
[217.22-217.22]  Dakota.
[218.54-218.74]  Butanorth
[218.74-218.74]  Dakota.
[218.76-219.76]  Butanorth
[219.76-219.76]  Dakota.
[219.76-219.76]  Butanorth
[219.76-219.76]  Dakota.
[219.76-220.10]  Butanorth
[220.10-220.52]  Dakota.
[220.52-220.52]  Butanorth
[220.52-220.52]  Dakota.
[220.52-220.52]  Butanorth
[220.52-220.52]  Dakota.
[221.94-222.94]  Butanorth
[222.94-222.94]  Dakota.
[222.94-223.00]  Butanorth
[223.00-223.00]  Dakota.
[223.00-223.00]  Butanorth
[223.00-223.00]  Dakota
[222.62-222.86]  My
[222.86-222.98]  dad
[222.98-223.16]  was
[223.16-223.26]  a
[223.26-223.42]  mayor
[223.42-223.60]  for
[223.60-223.76]  12
[223.76-224.04]  years
[224.04-224.34]  and
[224.34-224.50]  viewed
[224.50-224.98]  my
[224.98-225.22]  friends
[225.22-225.36]  would
[225.36-225.56]  come
[225.56-225.82]  over
[225.82-225.98]  and
[225.98-226.24]  have
[226.24-226.88]  sleepovers
[226.88-227.14]  and
[227.14-227.26]  like
[227.26-227.42]  my
[227.42-227.66]  dad
[227.66-227.86]  the
[227.86-228.04]  mayor
[228.04-228.20]  would
[228.20-228.44]  wake
[228.44-228.62]  us
[228.62-228.78]  up
[228.78-228.92]  to
[228.92-229.04]  go
[229.04-229.20]  like
[229.20-229.42]  hang
[229.42-229.58]  up
[229.58-229.72]  the
[229.72-229.98]  holiday
[229.98-230.54]  decorations
[230.54-230.92]  on
[230.92-231.08]  Main
[231.08-231.42]  Street.
[231.60-231.76]  Like
[231.76-232.30]  it
[232.30-233.12]  wasn't
[233.12-233.28]  that
[233.28-233.68]  fun.
[234.36-234.76]  That's
[234.76-234.80]  what
[234.80-234.92]  she
[234.92-235.04]  do
[235.04-235.22]  when
[235.22-235.26]  you're
[235.26-235.38]  the
[235.38-235.66]  mayor's
[235.66-235.80]  kids.
[236.02-236.10]  Yeah.
[236.46-236.46]  Yeah.
[237.16-237.56]  Anna's
[237.56-237.70]  big
[237.70-238.12]  sister
[238.12-238.46]  Anita
[238.46-238.98]  left
[238.98-239.20]  for
[239.20-239.60]  college
[239.60-239.90]  in

--- Chunk 1 ---
[0.00-0.26]  nearby
[0.26-0.88]  Maynott,
[1.22-1.30]  a
[1.30-1.88]  bustling,
[1.98-2.24]  big
[2.24-2.70]  city
[2.70-3.30]  by
[3.30-3.54]  North
[3.54-3.80]  Dakota
[3.80-4.56]  standards.
[5.14-5.54]  Anita's
[5.54-5.84]  aunt,
[6.00-6.22]  Karen
[6.22-6.68]  Lear,
[7.00-7.14]  lived
[7.14-7.38]  there
[7.38-7.80]  too.
[8.22-8.40]  How
[8.40-8.72]  excited
[8.72-8.96]  was
[8.96-9.14]  she
[9.14-9.42]  for
[9.42-9.72]  college?
[10.12-10.34]  Very
[10.34-10.58]  much
[10.58-10.78]  so.
[11.44-11.44]  And
[11.44-12.08]  she
[12.08-12.28]  also
[12.28-12.70]  worked
[12.70-12.90]  a
[12.90-13.08]  couple
[13.08-13.20]  of
[13.20-13.40]  jobs
[13.40-13.62]  up
[13.62-13.82]  here
[13.82-13.98]  in
[13.98-14.30]  Maynott
[14.30-14.54]  too.
[14.84-15.04]  Some
[15.04-15.14]  of
[15.14-15.24]  the
[15.24-15.52]  weekends,
[15.76-15.82]  she
[15.82-15.96]  would
[15.96-16.08]  go
[16.08-16.24]  back
[16.24-16.44]  to
[16.44-16.62]  But
[16.62-17.14]  and
[17.14-17.36]  help
[17.36-17.52]  her
[17.52-17.76]  mom
[17.76-17.98]  in
[17.98-18.12]  the
[18.12-18.38]  store.
[18.74-18.98]  She
[18.98-19.06]  and
[19.06-19.10]  my
[19.10-19.30]  mom
[19.30-19.56]  talked
[19.56-19.86]  like
[19.86-20.14]  every
[20.14-20.36]  single
[20.36-20.54]  day
[20.54-20.66]  on
[20.66-20.76]  the
[20.76-21.12]  phone.
[21.56-21.70]  Even
[21.70-21.86]  when
[21.86-21.96]  she
[21.96-22.08]  went
[22.08-22.18]  to
[22.18-22.44]  college.
[22.72-22.82]  Yeah,
[22.94-23.08]  even
[23.08-23.16]  when
[23.16-23.26]  she
[23.26-23.32]  went
[23.32-23.42]  to
[23.42-23.70]  college,
[23.70-23.98]  she
[23.98-24.10]  was
[24.10-24.36]  always
[24.36-24.94]  calling
[24.94-25.18]  my
[25.18-25.56]  mom.
[25.72-25.86]  She
[25.86-25.92]  was
[25.92-26.08]  such
[26.08-26.12]  a
[26.12-26.26]  hard
[26.26-26.58]  worker,
[26.76-26.84]  but
[26.84-26.96]  she
[26.96-27.12]  still
[27.12-27.22]  made
[27.22-27.52]  time
[27.52-27.70]  for
[27.70-27.78]  her
[27.78-27.98]  friend
[27.98-28.18]  and
[28.18-28.34]  for
[28.34-28.42]  her
[28.42-28.74]  family.
[29.15-29.39]  So
[29.39-29.61]  when
[29.61-30.05]  Anita's
[30.05-30.41]  family
[30.41-30.79]  didn't
[30.79-31.01]  hear
[31.01-31.25]  from
[31.25-31.47]  her
[31.47-31.91]  one
[31.91-32.35]  weekend
[32.35-32.65]  in
[32.65-32.85]  June
[32.85-33.71]  2007,
[34.11-34.55]  they
[34.55-34.91]  figured
[34.91-35.37]  she
[35.37-35.53]  was
[35.53-35.67]  at
[35.67-36.01]  work,
[36.55-36.89]  at
[36.89-37.21]  least
[37.21-37.95]  at
[37.95-38.59]  first.
[40.31-40.61]  Saturday
[40.61-41.07]  passed,
[41.87-42.45]  then
[42.45-43.31]  Sunday.
[44.13-44.31]  Was
[44.31-44.53]  it
[44.53-45.13]  out
[45.13-45.29]  of
[45.29-45.73]  character
[45.73-46.21]  for
[46.21-46.37]  them
[46.37-46.55]  to
[46.55-46.75]  not
[46.75-47.05]  hear
[47.05-47.37]  from
[47.37-47.59]  Anita?
[47.69-47.87]  Very
[47.87-48.15]  much
[48.15-48.37]  so,
[48.67-49.15]  absolutely.
[49.91-50.25]  By
[50.25-50.69]  Monday,
[51.07-51.21]  with
[51.21-51.43]  no
[51.43-51.81]  word
[51.81-52.07]  from
[52.07-52.41]  Anita,
[53.01-53.11]  her
[53.11-53.35]  dad
[53.35-53.79]  Gordon
[53.79-54.15]  made
[54.15-54.35]  the
[54.35-54.71]  hour
[54.71-55.01] -long
[55.01-55.39]  drive
[55.39-55.67]  to
[55.67-55.85]  his
[55.85-56.23]  daughter's
[56.23-56.65]  apartment
[56.65-57.05]  to
[57.05-57.25]  check
[57.25-57.53]  on
[57.53-57.77]  her.
[58.19-58.57]  When
[58.57-58.73]  he
[58.73-59.01]  peered
[59.01-59.27]  through
[59.27-59.69]  Anita's
[59.69-60.03]  window,
[60.39-60.47]  he
[60.47-60.65]  saw
[60.65-60.85]  her
[60.85-61.27]  lying
[61.27-61.67]  face
[61.67-62.11]  down
[62.11-62.53]  in
[62.53-62.73]  her
[62.73-63.07]  bed.
[63.71-63.89]  The
[63.89-64.27]  apartment
[64.27-64.79]  manager
[64.79-65.01]  let
[65.01-65.23]  him
[65.23-65.75]  inside
[65.75-66.29]  and
[66.29-66.77]  immediately
[66.77-67.43]  called
[67.43-68.15]  911.
[88.71-89.23]  That's
[89.23-89.31]  what
[89.31-89.49]  her
[89.49-89.91]  father
[89.91-90.25]  said.
[90.63-90.85]  I
[90.85-91.17]  didn't
[91.17-91.59]  touch
[91.59-91.73]  her,
[91.81-91.87]  but
[91.87-91.97]  I
[91.97-92.17]  see
[92.17-92.47]  there's
[92.47-92.61]  blood
[92.61-92.81]  on
[92.81-92.91]  the
[92.91-93.15]  blanket.
[93.79-94.17]  Right
[94.17-94.51]  away
[94.51-95.31]  Anita's
[95.31-95.57]  dad
[95.57-95.99]  called
[95.99-96.29]  his
[96.29-96.75]  sister
[96.75-97.27]  Karen.
[98.03-98.23]  He
[98.23-98.49]  said,
[98.89-99.23]  you've
[99.23-99.39]  got
[99.39-99.51]  to
[99.51-99.71]  come
[99.71-99.91]  here.
[101.89-102.41]  He
[102.41-104.99]  must
[104.99-105.17]  have
[105.17-105.33]  said
[105.33-105.73]  she's
[105.73-105.91]  dead.
[106.81-107.13]  When
[107.13-107.33]  she
[107.33-107.73]  arrived
[107.73-108.21]  police
[108.21-108.53]  were
[108.53-109.11]  already
[109.11-109.41]  on
[109.41-109.53]  the
[109.53-109.91]  scene.
[110.49-110.61]  So
[110.61-110.73]  you
[110.73-110.97]  drive
[110.97-111.19]  up
[111.19-111.31]  to
[111.31-111.43]  the
[111.43-111.89]  apartment
[111.89-112.57]  and
[112.57-112.69]  the
[112.69-112.91]  only
[112.91-113.05]  thing
[113.05-113.17]  that
[113.17-113.29]  you
[113.29-113.53]  know
[113.53-114.19]  is
[114.19-114.51]  that
[114.51-114.83]  she's
[114.83-115.01]  gone.
[115.39-115.79]  Anita's
[115.79-116.03]  gone.
[116.25-116.41]  Right.
[116.83-117.05]  I
[117.05-117.57]  can't
[117.57-118.11]  imagine
[118.11-118.65]  Karen,
[119.31-119.73]  him
[119.73-120.11]  coming
[120.11-120.41]  to
[120.41-120.63]  check
[120.63-120.87]  on
[120.87-121.19]  Anita
[121.19-122.47]  and
[122.47-122.69]  being
[122.69-122.95]  the
[122.95-123.15]  one
[123.15-123.39]  to
[123.39-123.89]  discover
[123.89-124.35]  that
[124.35-124.57]  she
[124.57-124.71]  had
[124.71-124.85]  been
[124.85-125.13]  killed.
[126.01-126.57]  When
[126.57-126.75]  you
[126.75-126.97]  got
[126.97-127.25]  there
[127.25-127.41]  and
[127.41-127.63]  saw
[127.63-127.95]  him,
[128.57-128.87]  how
[128.87-129.05]  was
[129.05-129.27]  he?
[129.89-130.15]  Oh,
[130.61-130.95]  in
[130.95-131.27]  shock.
[131.81-131.89]  I
[131.89-132.03]  mean,
[132.25-132.51]  it's
[132.51-132.93]  just
[132.93-133.75]  something
[133.75-133.95]  you
[133.95-134.23]  never,
[134.39-134.61]  ever
[134.61-134.99]  can
[134.99-135.37]  prepare
[135.37-135.85]  yourself
[135.85-136.15]  for.
[137.23-137.79]  Karen
[137.79-138.11]  stayed
[138.11-138.33]  on
[138.33-138.45]  the
[138.45-138.73]  scene
[138.73-139.21]  as
[139.21-139.49]  Gordon
[139.49-139.85]  left
[139.85-140.19]  to
[140.19-140.37]  break
[140.37-140.57]  the
[140.57-140.77]  news
[140.77-141.05]  to
[141.05-141.19]  his
[141.19-141.55]  wife
[141.55-142.03]  and
[142.03-142.17]  the
[142.17-142.35]  rest
[142.35-142.51]  of
[142.51-142.61]  the
[142.61-143.05]  family.
[143.75-143.85]  You
[143.85-143.95]  know,
[144.07-144.81]  he's...
[144.78-145.28]  waiting
[145.28-145.52]  for
[145.52-145.76]  more
[145.76-146.60]  information
[146.60-147.04]  from
[147.04-147.98]  the
[147.98-148.80]  detectives,
[148.92-149.34]  and
[149.34-149.48]  yet
[149.48-149.66]  he
[149.66-149.86]  knows
[149.86-150.06]  he
[150.06-150.26]  needs
[150.26-150.42]  to
[150.42-150.52]  go
[150.52-150.66]  back
[150.66-150.86]  to
[150.86-151.06]  view
[151.06-151.28]  it
[151.28-151.46]  and
[151.46-152.04]  talk
[152.04-152.28]  to
[152.28-152.60]  Sharon
[152.60-153.02]  and
[153.02-153.46]  the
[153.46-153.62]  other
[153.62-153.84]  two
[153.84-154.16]  kids.
[154.84-155.16]  So
[155.16-155.64]  he
[155.64-155.92]  stayed
[155.92-156.18]  for
[156.18-156.34]  a
[156.34-156.70]  while,
[157.12-157.32]  but
[157.32-157.50]  then
[157.50-157.64]  he
[157.64-157.86]  knew
[157.86-158.12]  he
[158.12-158.48]  had
[158.48-158.62]  to
[158.62-158.88]  leave
[158.88-160.34]  and
[160.34-160.72]  called
[160.72-160.92]  do
[160.92-161.14]  that
[161.14-161.46]  and
[161.46-161.54]  he
[161.54-161.76]  stayed.
[162.34-162.42]  I
[162.42-163.10]  wouldn't
[163.10-163.32]  leave.
[165.00-165.48]  What
[165.48-165.64]  made
[165.64-165.82]  you
[165.82-166.04]  stay?
[167.22-167.70]  Couldn't
[167.70-168.00]  leave.
[169.30-169.78]  We
[169.78-169.98]  had
[169.98-170.14]  to
[170.14-170.40]  stay
[170.40-170.58]  there
[170.58-170.82]  for
[170.82-171.02]  her.
[173.26-173.72]  You
[173.72-173.88]  felt
[173.88-174.04]  you
[174.04-174.20]  were
[174.20-174.48]  being
[174.48-174.70]  there
[174.70-174.92]  for
[174.92-175.14]  her.
[176.16-176.64]  It
[176.64-176.72]  had
[176.72-176.90]  to
[176.90-177.02]  be
[177.02-177.22]  there.
[178.50-178.98]  She
[178.98-179.24]  knew
[179.24-179.46]  when
[179.46-179.72]  that
[179.72-180.16]  instant,
[180.82-181.26]  everything
[181.26-181.58]  had
[181.58-182.34]  changed.
[182.72-182.92]  From
[182.92-183.14]  that
[183.14-183.36]  day
[183.36-183.62]  on,
[183.78-184.02]  when
[184.02-184.18]  it
[184.18-184.30]  got
[184.30-184.48]  to
[184.48-184.58]  be
[184.58-184.86]  dark,
[185.02-185.16]  the
[185.16-185.34]  doors
[185.34-185.60]  were
[185.60-186.06]  definitely
[186.06-186.48]  locked,
[186.64-186.72]  the
[186.72-186.94]  shades
[186.94-187.18]  were
[187.18-187.46]  pulled.
[188.04-188.22]  And
[188.22-188.36]  the
[188.36-188.84]  mystery
[188.84-189.12]  of
[189.12-189.34]  who
[189.34-189.68]  killed
[189.68-189.96]  Anita
[189.96-190.80]  was
[190.80-191.36]  only
[191.36-191.70]  just
[191.70-192.18]  beginning.
[192.80-193.22]  Somebody
[193.22-193.50]  is
[193.50-193.76]  there
[193.76-194.10]  kind
[194.10-194.24]  of
[194.24-194.40]  in
[194.40-194.58]  her
[194.58-195.06]  face,
[195.26-195.48]  holding
[195.48-195.70]  the
[195.70-195.88]  knife
[195.88-196.18]  to
[196.18-196.30]  her
[196.30-196.54]  neck.
[196.82-196.92]  It
[196.92-197.08]  was
[197.08-197.36]  scary,
[197.36-197.62]  I
[197.62-197.72]  mean,
[197.90-198.00]  because
[198.00-198.60]  anybody
[198.60-198.82]  and
[198.82-199.20]  everybody
[199.20-199.78]  is
[199.78-199.84]  a
[199.84-200.10]  suspect
[200.10-200.36]  to
[200.36-200.48]  me.
[200.80-200.96]  It
[200.96-204.12]  was
[204.12-207.96]  pressure
[207.96-208.34]  from
[208.34-208.46]  a
[208.46-208.76]  TV
[208.76-209.10]  show
[209.10-209.48]  that
[209.48-209.62]  put
[209.62-209.74]  an
[209.74-210.30]  incredible
[210.30-210.50]  amount
[210.50-210.62]  of
[210.62-211.00]  pressure
[211.00-211.54]  to
