--- Chunk 0 ---
[0.33-0.85]  Hey,
[210.06-210.30]  brother
[210.30-210.74]  Daniel
[210.74-211.24]  and
[211.24-211.38]  their
[211.38-211.70]  older
[211.70-212.18]  sister,
[212.62-213.08]  Anita.
[213.74-214.30]  What
[214.30-214.46]  was
[214.46-214.58]  it
[214.58-214.74]  like
[214.74-215.08]  living
[215.08-215.46]  there
[215.46-215.90]  in
[215.90-215.96]  a
[215.96-216.14]  place
[216.14-216.32]  that
[216.32-216.62]  small?
[216.92-217.16]  Quiet.
[217.94-218.44]  Yeah.
[218.72-218.98]  Yeah.
[219.60-219.86]  I
[219.86-220.02]  think
[220.02-220.30]  that's
[220.30-220.44]  kind
[220.44-220.52]  of
[220.52-220.64]  all
[220.64-220.74]  I
[220.74-220.88]  can
[220.88-221.16]  say.
[221.44-221.62]  It's
[221.62-221.76]  so
[221.76-222.12]  quiet.
[222.62-222.86]  My
[222.86-222.98]  dad
[222.98-223.16]  was
[223.16-223.26]  a
[223.26-223.38]  mayor
[223.38-223.60]  for
[223.60-223.82]  12
[223.82-224.06]  years
[224.06-224.34]  in
[224.34-224.74]  Butte.
[224.92-224.98]  My
[224.98-225.22]  friends
[225.22-225.38]  would
[225.38-225.54]  come
[225.54-225.80]  over
[225.80-225.98]  and
[225.98-226.26]  have
[226.26-226.88]  sleepovers
[226.88-227.16]  and
[227.16-227.28]  like
[227.28-227.44]  my
[227.44-227.70]  dad
[227.70-227.84]  the
[227.84-228.04]  mayor
[228.04-228.20]  would
[228.20-228.42]  wake
[228.42-228.62]  us
[228.62-228.78]  up
[228.78-228.92]  to
[228.92-229.06]  go
[229.06-229.22]  like
[229.22-229.44]  hang
[229.44-229.60]  up
[229.60-229.72]  the
[229.72-229.98]  holiday
[229.98-230.58]  decorations
[230.58-230.90]  on
[230.90-231.08]  Main
[231.08-231.40]  Street.
[231.60-231.76]  Like
[231.76-232.32]  it
[232.32-233.16]  wasn't
[233.16-233.32]  that
[233.32-233.64]  fun.
[234.36-234.76]  That's
[234.76-234.82]  what
[234.82-234.90]  you
[234.90-235.06]  do
[235.06-235.20]  when
[235.20-235.30]  you're
[235.30-235.38]  the
[235.38-235.64]  mayor's
[235.64-235.82]  kids.
[236.16-236.16]  Yeah,
[236.26-236.46]  yeah.
[237.16-237.56]  Anna's
[237.56-237.70]  big
[237.70-238.08]  sister
[238.08-238.46]  Anita
[238.46-239.02]  left
[239.02-239.22]  for
[239.22-239.74]  college
[239.74-239.94]  in

--- Chunk 1 ---
[0.00-0.26]  nearby
[0.26-0.76]  Minot,
[1.18-1.32]  a
[1.32-1.88]  bustling
[1.88-2.22]  big
[2.22-2.66]  city
[2.66-3.32]  by
[3.32-3.56]  North
[3.56-3.86]  Dakota
[3.86-4.36]  standards.
[5.12-5.56]  Anita's
[5.56-5.80]  aunt,
[6.02-6.22]  Karen
[6.22-6.60]  Lear,
[6.90-7.14]  lived
[7.14-7.42]  there
[7.42-7.76]  too.
[8.20-8.38]  How
[8.38-8.72]  excited
[8.72-8.98]  was
[8.98-9.18]  she
[9.18-9.42]  for
[9.42-9.76]  college?
[10.14-10.32]  Very
[10.32-10.54]  much
[10.54-10.80]  so.
[11.16-11.40]  And
[11.40-12.08]  she
[12.08-12.32]  also
[12.32-12.72]  worked
[12.72-12.90]  a
[12.90-13.06]  couple
[13.06-13.42]  jobs
[13.42-13.66]  up
[13.66-13.82]  here
[13.82-13.96]  in
[13.96-14.30]  Minot
[14.30-14.54]  too.
[14.88-15.06]  Some
[15.06-15.16]  of
[15.16-15.22]  the
[15.22-15.52]  weekends
[15.52-15.82]  she
[15.82-15.96]  would
[15.96-16.08]  go
[16.08-16.28]  back
[16.28-16.44]  to
[16.44-16.94]  Butte
[16.94-17.18]  and
[17.18-17.38]  help
[17.38-17.54]  her
[17.54-17.76]  mom
[17.76-18.00]  in
[18.00-18.14]  the
[18.14-18.38]  store.
[18.70-18.98]  She
[18.98-19.04]  and
[19.04-19.12]  my
[19.12-19.30]  mom
[19.30-19.66]  talked
[19.66-20.14]  every
[20.14-20.36]  single
[20.36-20.58]  day
[20.58-20.68]  on
[20.68-20.78]  the
[20.78-21.10]  phone.
[21.50-21.72]  Even
[21.72-21.88]  when
[21.88-21.98]  she
[21.98-22.08]  went
[22.08-22.18]  to
[22.18-22.44]  college?
[22.70-22.86]  Yeah,
[22.92-23.08]  even
[23.08-23.18]  when
[23.18-23.26]  she
[23.26-23.34]  went
[23.34-23.42]  to
[23.42-23.80]  college.
[23.98-24.10]  She
[24.10-24.12]  was
[24.12-24.38]  always
[24.38-24.96]  calling
[24.96-25.20]  my
[25.20-25.48]  mom.
[25.74-25.84]  She
[25.84-25.94]  was
[25.94-26.06]  such
[26.06-26.12]  a
[26.12-26.28]  hard
[26.28-26.56]  worker,
[26.72-26.84]  but
[26.84-26.96]  she
[26.96-27.12]  still
[27.12-27.26]  made
[27.26-27.52]  time
[27.52-27.70]  for
[27.70-27.84]  her
[27.84-28.04]  friend
[28.04-28.20]  and
[28.20-28.36]  for
[28.36-28.46]  her
[28.46-28.70]  family.
[29.15-29.41]  So
[29.41-29.61]  when
[29.61-30.05]  Anita's
[30.05-30.43]  family
[30.43-30.79]  didn't
[30.79-31.03]  hear
[31.03-31.25]  from
[31.25-31.49]  her
[31.49-31.93]  one
[31.93-32.31]  weekend
[32.31-32.65]  in
[32.65-32.87]  June
[32.87-33.73]  2007,
[34.11-34.55]  they
[34.55-34.95]  figured
[34.95-35.37]  she
[35.37-35.55]  was
[35.55-35.69]  at
[35.69-36.03]  work,
[36.67-36.91]  at
[36.91-37.29]  least
[37.29-37.99]  at
[37.99-38.43]  first.
[39.91-40.55]  Saturday
[40.55-41.17]  passed,
[41.95-42.45]  then
[42.45-43.27]  Sunday.
[44.21-44.31]  Was
[44.31-44.57]  it
[44.57-45.15]  out
[45.15-45.27]  of
[45.27-45.73]  character
[45.73-46.21]  for
[46.21-46.39]  them
[46.39-46.57]  to
[46.57-46.77]  not
[46.77-47.09]  hear
[47.09-47.35]  from
[47.35-47.61]  Anita?
[47.73-47.85]  Very
[47.85-48.13]  much
[48.13-48.39]  so,
[48.63-48.97]  absolutely.
[49.99-50.27]  By
[50.27-50.69]  Monday,
[51.07-51.19]  with
[51.19-51.47]  no
[51.47-51.83]  word
[51.83-52.09]  from
[52.09-52.47]  Anita,
[53.01-53.15]  her
[53.15-53.33]  dad
[53.33-53.79]  Gordon
[53.79-54.17]  made
[54.17-54.37]  the
[54.37-54.69]  hour
[54.69-54.99] -long
[54.99-55.45]  drive
[55.45-55.67]  to
[55.67-55.85]  his
[55.85-56.21]  daughter's
[56.21-56.61]  apartment
[56.61-57.05]  to
[57.05-57.33]  check
[57.33-57.57]  on
[57.57-57.79]  her.
[58.19-58.59]  When
[58.59-58.73]  he
[58.73-59.03]  peered
[59.03-59.25]  through
[59.25-59.67]  Anita's
[59.67-59.97]  window,
[60.41-60.47]  he
[60.47-60.67]  saw
[60.67-60.87]  her
[60.87-61.29]  lying
[61.29-61.67]  face
[61.67-62.15]  down
[62.15-62.57]  in
[62.57-62.73]  her
[62.73-63.07]  bed.
[63.81-63.91]  The
[63.91-64.25]  apartment
[64.25-64.81]  manager
[64.81-65.03]  led
[65.03-65.23]  him
[65.23-65.71]  inside
[65.71-66.33]  and
[66.33-66.83]  immediately
[66.83-67.47]  called
[67.47-68.19]  911.
[93.59-94.19]  Right
[94.19-94.49]  away,
[94.87-95.33]  Anita's
[95.33-95.57]  dad
[95.57-96.05]  called
[96.05-96.29]  his
[96.29-96.77]  sister,
[97.01-97.33]  Karen.
[104.31-104.91]  When
[104.91-107.33]  she
[107.33-107.79]  arrived,
[107.97-108.17]  police
[108.17-108.55]  were
[108.55-109.13]  already
[109.13-109.43]  on
[109.43-109.55]  the
[109.55-110.03]  scene.
[110.59-110.59]  So
[110.59-110.73]  you
[110.73-110.97]  drive
[110.97-111.17]  up
[111.17-111.31]  to
[111.31-111.43]  the
[111.43-111.83]  apartment
[111.83-112.57]  and
[112.57-112.69]  the
[112.69-112.87]  only
[112.87-113.05]  thing
[113.05-113.19]  that
[113.19-113.33]  you
[113.33-113.59]  know
[113.59-114.15]  is
[114.15-114.53]  that
[114.53-114.81]  she's
[114.81-115.03]  gone.
[116.83-117.05]  I
[117.05-117.57]  can't
[117.57-118.15]  imagine
[118.15-118.61]  Karen
[118.61-119.73]  him
[119.73-120.15]  coming
[120.15-120.41]  to
[120.41-120.67]  check
[120.67-120.89]  on
[120.89-121.19]  Anita
[121.19-122.47]  and
[122.47-122.73]  being
[122.73-122.97]  the
[122.97-123.19]  one
[123.19-123.39]  to
[123.39-123.87]  discover
[123.87-124.37]  that
[124.37-124.57]  she
[124.57-124.73]  had
[124.73-124.87]  been
[124.87-125.23]  killed.
[125.97-126.55]  When
[126.55-126.75]  you
[126.75-126.97]  got
[126.97-127.29]  there
[127.29-127.43]  and
[127.43-127.67]  saw
[127.67-127.95]  him,
[128.63-128.89]  how
[128.89-129.11]  was
[129.11-129.33]  he?
[129.95-130.15]  Oh,
[130.63-130.95]  in
[130.95-131.33]  shock.
[131.83-131.89]  I
[131.89-132.09]  mean,
[132.15-132.61]  it's
[132.61-132.95]  just
[132.95-133.69]  something
[133.69-133.95]  you
[133.95-134.25]  never,
[134.25-134.59]  ever
[134.59-134.99]  can
[134.99-135.41]  prepare
[135.41-135.77]  yourself
[135.77-136.19]  for.
[137.19-137.79]  Karen
[137.79-138.09]  stayed
[138.09-138.33]  on
[138.33-138.47]  the
[138.47-138.89]  scene
[138.89-139.19]  as
[139.19-139.49]  Gordon
[139.49-139.93]  left
[139.93-140.19]  to
[140.19-140.41]  break
[140.41-140.57]  the
[140.57-140.85]  news
[140.85-141.03]  to
[141.03-141.21]  his
[141.21-141.55]  wife
[141.55-142.03]  and
[142.03-142.19]  the
[142.19-142.39]  rest
[142.39-142.55]  of
[142.55-142.63]  the
[142.63-143.01]  family.
[143.69-143.85]  You
[143.85-143.99]  know,
[144.03-144.41]  he's
[144.78-145.28]  waiting
[145.28-145.54]  for
[145.54-145.80]  more
[145.80-146.60]  information
[146.60-147.04]  from
[147.04-147.96]  the
[147.96-148.78]  detectives,
[149.06-149.32]  and
[149.32-149.50]  yet
[149.50-149.68]  he
[149.68-149.90]  knows
[149.90-150.08]  he
[150.08-150.26]  needs
[150.26-150.44]  to
[150.44-150.52]  go
[150.52-150.70]  back
[150.70-150.86]  to
[150.86-151.26]  Butte
[151.26-151.46]  and
[151.46-152.04]  talk
[152.04-152.30]  to
[152.30-152.56]  Sharon
[152.56-153.00]  and
[153.00-153.48]  the
[153.48-153.64]  other
[153.64-153.82]  two
[153.82-154.16]  kids.
[154.66-155.18]  So
[155.18-155.66]  he
[155.66-155.94]  stayed
[155.94-156.18]  for
[156.18-156.34]  a
[156.34-156.72]  while,
[157.08-157.32]  but
[157.32-157.52]  then
[157.52-157.66]  he
[157.66-157.86]  knew
[157.86-158.08]  he
[158.08-158.50]  had
[158.50-158.70]  to
[158.70-158.98]  leave
[158.98-160.30]  and
[160.30-160.72]  go
[160.72-160.90]  do
[160.90-161.16]  that.
[161.44-161.52]  He
[161.52-161.78]  stayed.
[162.24-162.46]  I
[162.46-163.10]  wouldn't
[163.10-163.36]  leave.
[164.96-165.48]  What
[165.48-165.68]  made
[165.68-165.82]  you
[165.82-166.10]  stay?
[166.94-167.10]  I
[167.10-167.74]  couldn't
[167.74-168.04]  leave.
[169.24-169.76]  We
[169.76-170.00]  had
[170.00-170.16]  to
[170.16-170.40]  stay
[170.40-170.60]  there
[170.60-170.82]  for
[170.82-171.04]  her.
[173.26-173.72]  You
[173.72-173.90]  felt
[173.90-174.08]  you
[174.08-174.22]  were
[174.22-174.48]  being
[174.48-174.72]  there
[174.72-174.92]  for
[174.92-175.14]  her.
[176.24-176.72]  Had
[176.72-176.90]  to
[176.90-177.00]  be
[177.00-177.24]  there.
[178.50-178.98]  She
[178.98-179.26]  knew
[179.26-179.50]  in
[179.50-179.74]  that
[179.74-180.24]  instant,
[180.68-181.18]  everything
[181.18-181.60]  had
[181.60-182.26]  changed.
[182.84-182.94]  From
[182.94-183.16]  that
[183.16-183.40]  day
[183.40-183.60]  on,
[183.74-184.02]  when
[184.02-184.20]  it
[184.20-184.30]  got
[184.30-184.48]  to
[184.48-184.58]  be
[184.58-184.88]  dark,
[185.08-185.16]  the
[185.16-185.36]  doors
[185.36-185.64]  were
[185.64-186.06]  definitely
[186.06-186.50]  locked,
[186.64-186.72]  the
[186.72-186.98]  shades
[186.98-187.18]  were
[187.18-187.46]  pulled.
[188.10-188.26]  And
[188.26-188.38]  the
[188.38-188.76]  mystery
[188.76-189.14]  of
[189.14-189.36]  who
[189.36-189.68]  killed
[189.68-190.02]  Anita
[190.02-190.80]  was
[190.80-191.36]  only
[191.36-191.74]  just
[191.74-192.22]  beginning.
[192.80-193.22]  Somebody
[193.22-193.48]  is
[193.48-193.78]  there,
[194.02-194.12]  kind
[194.12-194.28]  of
[194.28-194.42]  in
[194.42-194.58]  her
[194.58-194.92]  face,
[195.26-195.48]  holding
[195.48-195.70]  the
[195.70-195.94]  knife
[195.94-196.18]  to
[196.18-196.32]  her
[196.32-196.56]  neck.
[196.80-196.92]  It
[196.92-197.08]  was
[197.08-197.42]  scary,
[197.54-197.62]  I
[197.62-197.76]  mean,
[197.90-198.00]  because
[198.00-198.58]  anybody
[198.58-198.82]  and
[198.82-199.14]  everybody
[199.14-199.78]  is
[199.78-199.88]  a
[199.88-200.06]  suspect
[200.06-200.36]  to
[200.36-200.52]  me.
[200.80-201.00]  If
[201.00-201.20]  there's
[201.20-201.30]  a
[201.30-201.54]  chance
[201.54-201.78]  that
[201.78-201.88]  you
[201.88-202.18]  crawled
[202.18-202.28]  in
[202.28-202.38]  the
[202.38-202.60]  window
[202.60-202.80]  and
[202.80-202.98]  killed
[202.98-203.28]  this
[203.28-203.46]  girl.
[203.94-204.38]  No,
[204.48-204.54]  I
[204.54-204.84]  can't,
[204.88-204.96]  bro.
[205.18-205.48]  That's
[205.48-206.04]  my
[206.04-206.18]  order,
[206.24-206.42]  man.
[207.20-207.62]  It
[207.62-207.72]  was
[207.72-208.12]  pressure
[208.12-208.34]  from
[208.34-208.50]  a
[208.50-208.74]  TV
[208.74-209.10]  show.
[209.40-209.50]  They
[209.50-209.64]  put
[209.64-209.78]  an
[209.78-210.16]  incredible
[210.16-210.54]  amount
[210.54-210.64]  of
[210.64-210.98]  pressure
[210.98-211.54]  to
[211.54-211.80]  bring
[211.80-212.18]  charges
[212.18-212.44]  in
[212.44-212.66]  this
[212.66-212.82]  case.
[228.52-228.96]  David
[228.96-229.46]  Goodman.
[229.72-229.94]  A
[229.94-230.18]  newly
[230.18-230.68]  minted
[230.68-231.16]  detective
[231.16-231.52]  with
[231.52-231.68]  the
[231.68-232.04]  Minot
[232.04-232.34]  Police
[232.34-232.92]  Department
[232.92-233.54]  had
[233.54-233.72]  a
[233.72-233.96]  lot
[233.96-234.20]  to
[234.20-234.42]  think
[234.42-234.84]  about
[234.84-235.12]  as
[235.12-235.24]  he
[235.24-235.42]  made
[235.42-235.58]  his
[235.58-235.76]  way
[235.76-235.94]  to
[235.94-236.06]  the
[236.06-236.48]  apartment
[236.48-236.92]  where
[236.92-237.14]  Anita
[237.14-237.80]  Knutson
[237.80-237.98]  was
[237.98-238.38]  murdered.

--- Chunk 2 ---
[0.00-0.76]  unexplained
[0.76-1.12]  death
[1.12-1.42]  of
[1.42-1.56]  a
[1.56-1.98]  promising
[1.98-2.30]  young
[2.30-2.68]  college
[2.68-3.12]  student
[3.12-3.80]  was
[3.80-4.36]  virtually
[4.36-5.08]  unheard
[5.08-5.44]  of
[5.44-5.60]  in
[5.60-5.98]  Minot,
[6.10-6.22]  North
[6.22-6.74]  Dakota.
[7.62-8.10]  So
[8.10-8.24]  as
[8.24-8.40]  you're
[8.40-8.50]  on
[8.50-8.62]  your
[8.62-8.78]  way
[8.78-9.00]  there,
[9.42-9.58]  what
[9.58-9.66]  are
[9.66-9.78]  you
[9.78-10.06]  thinking?
[10.62-10.80]  I
[10.80-10.98]  was
[10.98-11.22]  new
[11.22-11.46]  to
[11.46-12.18]  investigations,
[12.60-12.72]  kind
[12.72-12.84]  of
[12.84-13.02]  wondered
[13.02-13.26]  what
[13.26-13.60]  direction
[13.60-13.96]  we'd
[13.96-14.14]  go
[14.14-14.38]  in
[14.38-14.56]  and
[14.56-14.86]  are
[14.86-15.00]  we
[15.00-15.08]  going
[15.08-15.14]  to
[15.14-15.38]  solve
[15.38-15.64]  this
[15.64-15.84]  right
[15.84-16.16]  away?
[16.32-16.42]  Is
[16.42-16.52]  it
[16.52-16.60]  going
[16.60-16.66]  to
[16.66-16.76]  be
[16.76-17.18]  difficult?
