--- Chunk 0 ---
[0.49-0.97]  Hey,
[70.34-70.48]  you
[70.48-70.68]  think
[70.68-70.90]  my
[70.90-71.10]  daughter
[71.10-71.38]  did
[71.38-71.86]  this?
[73.86-74.38]  We
[74.38-74.62]  were
[74.62-75.14]  dispatched
[75.14-75.38]  to
[75.38-75.62]  a
[75.62-75.78]  call
[75.78-76.22]  of
[76.22-76.48]  someone
[76.48-76.90]  entering
[76.90-77.16]  an
[77.16-77.54]  apartment.
[78.22-78.26]  There
[78.26-78.52]  was
[78.52-78.94]  a
[78.94-79.28]  male.
[79.74-79.78]  He
[79.78-80.14]  had
[80.14-80.36]  a
[80.36-80.84]  knife.
[81.12-81.26]  There
[81.26-86.36]  were
[86.36-86.84]  many
[86.84-87.44]  possible
[87.44-88.08]  suspects.
[90.24-90.32]  If
[90.32-90.52]  someone
[90.52-90.76]  told
[90.76-91.00]  you
[91.00-91.22]  that
[91.22-91.80]  apartment,
[92.14-92.16]  you
[92.16-92.32]  said
[92.32-92.46]  you
[92.46-92.70]  killed
[92.70-92.92]  him.
[93.24-93.48]  You
[93.48-93.66]  didn't
[93.66-93.68]  even
[93.68-94.10]  lie.
[95.18-95.64]  We've
[95.64-95.78]  been
[95.78-96.10]  reliving
[96.10-96.70]  this,
[96.90-96.94]  every
[96.94-97.18]  single
[97.18-97.50]  day,
[97.62-97.78]  for
[97.78-98.06]  18
[98.06-98.58]  years.
[99.07-99.75]  It's
[99.75-100.25]  really
[100.25-100.69]  scary
[100.69-101.19]  not
[101.19-101.47]  knowing
[101.47-101.69]  how
[101.69-101.87]  that's
[101.87-102.03]  going
[102.03-102.07]  to
[102.07-102.23]  turn
[102.23-102.57]  out.
[102.89-102.89]  A
[102.89-103.19]  popular
[103.19-103.75]  college
[103.75-104.27]  student
[104.27-104.79]  murdered
[104.79-105.29]  a
[105.29-105.55]  case
[105.55-105.89]  that
[105.89-106.13]  dragged
[106.13-106.47]  on
[106.47-106.73]  for
[106.73-107.29]  years.
[107.81-107.87]  Good
[107.87-108.59]  revelations
[108.59-108.89]  during
[108.89-109.23]  a
[109.23-109.61]  party
[109.61-110.09]  finally
[110.09-110.61]  solved
[110.61-110.87]  the
[110.87-111.29]  mystery.
[111.95-112.27]  I'm
[112.27-112.55]  Lester
[112.55-112.99]  Holt
[112.99-113.39]  and
[113.39-113.63]  this
[113.63-113.81]  is
[113.81-114.01]  Dave
[114.01-116.17]  Lyme.
[122.87-123.67]  Here's
[123.67-123.95]  Blaine
[123.95-124.51]  Alexander
[124.51-125.13]  with
[125.13-125.95]  Murder
[125.95-126.53]  in
[126.53-127.09]  Minacht.
[135.56-136.08]  The
[136.08-136.48]  town
[136.48-136.96]  is
[136.96-137.48]  mostly
[137.48-137.98]  quiet
[137.98-139.08]  now.
[139.74-139.98]  Just
[139.98-140.12]  a
[140.12-140.36]  few
[140.36-140.78]  stores
[140.78-141.14]  line
[141.14-141.38]  the
[141.38-141.98]  streets,
[142.58-142.78]  but
[142.78-143.10]  ride
[143.10-143.38]  through
[143.38-143.70]  this
[143.70-144.20]  small
[144.20-144.56]  North
[144.56-144.98]  Dakota
[144.98-145.60]  community,
[146.12-146.20]  and
[146.20-146.48]  you'll
[146.48-146.66]  see
[146.66-147.26]  them.
[147.58-147.80]  These
[147.80-148.22]  weather
[148.22-148.60] -worn
[148.60-148.92]  pink
[148.92-149.60]  ribbons,
[150.30-150.40]  and
[150.40-150.54]  a
[150.54-150.78]  faded
[150.78-151.36]  photograph
[151.36-151.72]  of
[151.72-151.84]  a
[151.84-152.06]  young
[152.06-152.60]  woman,
[153.10-153.20]  no
[153.20-153.54]  one
[153.54-153.96]  here
[153.96-154.28]  can
[154.28-155.06]  forget.
[156.32-156.92]  Reminders
[156.92-157.24]  of
[157.24-157.66]  what
[157.66-157.92]  this
[157.92-158.20]  place
[158.20-158.52]  has
[158.52-158.74]  been
[158.74-159.32]  through,
[160.08-160.24]  of
[160.24-160.40]  a
[160.40-160.82]  mystery
[160.82-161.22]  that
[161.22-161.90]  spanned
[161.90-162.36]  nearly
[162.36-162.86]  two
[162.86-163.46]  decades.
[164.03-164.49]  You
[164.49-164.71]  talked
[164.71-164.89]  to
[164.89-165.31]  police
[165.31-166.11]  all
[166.11-166.19]  the
[166.19-166.77]  time
[166.77-167.01]  all
[167.01-167.15]  the
[167.15-167.85]  time
[167.85-168.07]  for
[168.07-168.33]  the
[168.33-168.43]  whole
[168.43-168.75]  18
[168.75-169.59]  years.
[170.59-170.59]  This
[170.59-170.95]  story
[170.95-171.19]  is
[171.19-171.39]  about
[171.39-171.57]  a
[171.57-171.89]  young
[171.89-172.39]  student,
[172.87-172.89]  a
[172.89-173.05]  way
[173.05-173.29]  it
[173.29-173.79]  college
[173.79-174.39]  killed
[174.39-174.65]  in
[174.65-174.93]  her
[174.93-175.19]  own
[175.19-175.75]  bedroom
[175.75-176.63]  and
[176.63-176.89]  about
[176.89-177.13]  the
[177.13-177.49]  family
[177.49-177.73]  and
[177.73-178.23]  friends
[178.23-178.67]  who
[178.67-179.11]  never
[179.11-179.49]  stopped
[179.49-179.85]  pressing
[179.85-180.23]  for
[180.23-180.81]  answers.
[181.41-181.47]  We're
[181.47-181.65]  not
[181.65-181.91]  forgetting
[181.91-182.25]  about
[182.25-182.63]  this.
[182.77-182.89]  We
[182.89-183.09]  weren't
[183.09-183.23]  gonna
[183.23-183.43]  give
[183.43-183.65]  up.
[183.81-183.85]  She
[183.85-184.17]  wouldn't
[184.17-184.69]  have.
[185.23-185.33]  We
[185.33-185.57]  weren't
[185.57-185.79]  going
[185.79-186.57]  to.
[191.95-192.47]  Tell
[192.47-192.61]  me
[192.61-192.83]  about
[193.02-193.48]  Beautiful
[193.48-193.80]  North
[193.80-194.30]  Dakota.
[195.14-195.20]  Beautiful
[195.20-196.22]  is
[196.22-196.56]  a
[196.56-196.84]  tiny
[196.84-197.20]  little
[197.20-197.62]  town.
[198.06-198.66]  It's,
[198.66-198.76]  I
[198.76-199.12]  mean,
[199.50-199.56]  when
[199.56-199.66]  you
[199.66-199.86]  say
[199.86-200.18]  tiny
[200.18-200.52]  eight
[200.52-200.86]  streets.
[201.28-201.56]  Eight
[201.56-201.88]  streets.
[201.94-202.14]  Eight
[202.14-202.44]  streets.
[202.52-202.52]  Eight
[202.52-202.52]  streets.
[202.54-202.76]  Fifty
[202.76-203.30]  people.
[203.62-203.88]  Tiny
[203.88-204.30]  tiny.
[205.02-205.02]  Yeah.
[205.76-206.04]  It's
[206.04-206.26]  where
[206.26-206.50]  Anna
[206.50-207.06]  Kenutsan
[207.06-207.42]  spent
[207.42-207.82]  much
[207.82-207.98]  of
[207.98-208.16]  her
[208.16-208.40]  late
[208.40-209.00]  childhood
[209.00-209.76]  raised
[209.76-210.04]  with
[210.04-210.20]  her
[210.20-210.44]  brother
[210.44-210.90]  Daniel
[210.90-211.30]  and
[211.30-211.60]  their
[211.60-211.88]  older
[211.88-212.50]  sister
[212.50-213.16]  Anita.
[213.90-214.38]  What
[214.38-214.54]  was
[214.54-214.74]  it
[214.74-214.88]  like
[214.88-215.16]  living
[215.16-215.70]  there
[215.70-216.04]  in
[216.04-216.08]  a
[216.08-216.24]  place
[216.24-216.44]  that
[216.44-216.74]  small?
[216.92-217.22]  Quiet?
[218.32-218.54]  Yeah.
[218.84-219.24]  Yeah.
[219.72-219.90]  I
[219.90-220.10]  think
[220.10-220.42]  that's
[220.42-220.60]  kind
[220.60-220.60]  of
[220.60-220.72]  all
[220.72-220.82]  I
[220.82-220.98]  can
[220.98-221.32]  say.
[221.62-221.80]  It's
[221.80-221.88]  so
[221.88-222.36]  quiet.
[222.62-222.92]  My
[222.92-223.06]  dad
[223.06-223.26]  was
[223.26-223.40]  a
[223.40-223.54]  mayor
[223.54-223.70]  for
[223.70-223.86]  12
[223.86-224.24]  years
[224.24-224.46]  and
[224.46-224.72]  my
[224.72-225.28]  friends
[225.28-225.48]  would
[225.48-225.70]  come
[225.70-225.96]  over
[225.96-226.24]  and
[226.24-226.44]  have
[226.44-227.02]  sleepovers
[227.02-227.28]  and
[227.28-227.38]  like
[227.38-227.60]  my
[227.60-227.80]  dad,
[227.90-227.96]  the
[227.96-228.12]  mayor
[228.12-228.32]  would
[228.32-228.52]  wake
[228.52-228.72]  us
[228.72-228.92]  up
[228.92-229.02]  to
[229.02-229.30]  go
[229.30-229.40]  like
[229.40-229.50]  hang
[229.50-229.72]  up
[229.72-229.88]  the
[229.88-230.10]  holiday
[230.10-230.62]  decorations
[230.62-231.02]  on
[231.02-231.28]  Main
[231.28-231.56]  Street.
[231.84-231.84]  Like
[231.84-232.76]  it
[232.76-233.14]  wasn't
[233.14-233.46]  that
[233.46-233.90]  fun.
[234.70-234.84]  That's
[234.84-234.90]  what
[234.90-234.98]  you
[234.98-235.14]  do
[235.14-235.28]  when
[235.28-235.36]  you're
[235.36-235.46]  the
[235.46-235.78]  mayor's
[235.78-235.94]  kids.
[236.24-236.24]  Yes,
[237.06-237.06]  yes.
[237.30-237.68]  Anna's
[237.68-237.82]  big
[237.82-238.20]  sister
[238.20-238.62]  Anita
[238.62-239.12]  left
[239.12-239.38]  for
[239.38-239.76]  college
[239.76-240.32]  and

--- Chunk 1 ---
[0.00-0.38]  Nearby
[0.38-0.92]  Minot,
[1.40-1.46]  a
[1.46-2.02]  bustling
[2.02-2.42]  big
[2.42-2.88]  city
[2.88-3.42]  by
[3.42-3.64]  North
[3.64-3.98]  Dakota
[3.98-4.72]  standards.
[5.26-5.32]  A
[5.32-5.48]  need
[5.48-5.66]  is
[5.66-5.92]  on,
[6.10-6.34]  Karen
[6.34-6.88]  Lear
[6.88-7.24]  lived
[7.24-7.56]  there
[7.56-8.12]  too.
[8.32-8.46]  How
[8.46-8.84]  excited
[8.84-9.08]  was
[9.08-9.26]  she
[9.26-9.56]  for
[9.56-9.94]  college?
[10.20-10.44]  Very
[10.44-10.68]  much
[10.68-11.00]  so.
[11.78-11.86]  And,
[11.86-11.90]  you
[11.90-12.02]  know,
[12.10-12.24]  she
[12.24-12.54]  also
[12.54-12.82]  worked
[12.82-13.00]  a
[13.00-13.20]  couple
[13.20-13.50]  jobs
[13.50-13.80]  up
[13.80-13.98]  here
[13.98-14.12]  in
[14.12-14.40]  Minot
[14.40-14.80]  too.
[14.90-15.10]  Some
[15.10-15.28]  of
[15.28-15.48]  the
[15.48-15.66]  weekends
[15.66-15.88]  she
[15.88-16.04]  would
[16.04-16.18]  go
[16.18-16.38]  back
[16.38-16.56]  to
[16.56-16.98]  Bute
[16.98-17.28]  and
[17.28-17.48]  help
[17.48-17.62]  her
[17.62-17.88]  mom
[17.88-18.20]  in
[18.20-18.28]  the
[18.28-18.50]  store.
[18.90-19.04]  She
[19.04-19.16]  and
[19.16-19.22]  my
[19.22-19.42]  mom
[19.42-19.72]  talked
[19.72-20.08]  like
[20.08-20.26]  every
[20.26-20.46]  single
[20.46-20.64]  day
[20.64-20.76]  on
[20.76-20.96]  the
[20.96-21.32]  phone.
[21.54-21.80]  Even
[21.80-21.98]  when
[21.98-22.04]  she
[22.04-22.16]  went
[22.16-22.38]  to
[22.38-22.60]  college.
[22.82-22.92]  Yeah,
[22.98-23.16]  even
[23.16-23.30]  when
[23.30-23.32]  she
[23.32-23.40]  went
[23.40-23.58]  to
[23.58-23.88]  college,
[24.04-24.06]  she
[24.06-24.18]  was
[24.18-24.60]  always,
[24.88-24.88]  yeah,
[25.04-25.08]  calling
[25.08-25.28]  my
[25.28-25.70]  mom.
[25.82-25.88]  She
[25.88-25.98]  was
[25.98-26.16]  such
[26.16-26.20]  a
[26.20-26.40]  hard
[26.40-26.70]  worker,
[26.88-26.90]  but
[26.90-27.04]  she
[27.04-27.20]  still
[27.20-27.34]  made
[27.34-27.66]  time
[27.66-27.82]  for
[27.82-27.90]  her
[27.90-28.12]  friend
[28.12-28.30]  and
[28.30-28.44]  for
[28.44-28.56]  her
[28.56-28.92]  family.
[29.15-29.49]  So
[29.49-29.73]  when
[29.73-30.23]  Anita's
[30.23-30.53]  family
[30.53-30.89]  didn't
[30.89-31.15]  hear
[31.15-31.39]  from
[31.39-31.77]  her
[31.77-32.01]  one
[32.01-32.43]  weekend
[32.43-32.75]  in
[32.75-33.01]  June
[33.01-33.79]  2007,
[34.53-34.67]  they
[34.67-35.05]  figured
[35.05-35.45]  she
[35.45-35.65]  was
[35.65-35.91]  at
[35.91-36.31]  work,
[36.97-37.19]  at
[37.19-37.43]  least,
[37.95-38.23]  at
[38.23-38.79]  first.
[40.39-40.71]  Saturday
[40.71-41.45]  passed,
[42.19-42.59]  then,
[43.13-43.51]  Sunday.
[44.33-44.45]  Was
[44.45-45.09]  it
[45.09-45.35]  out
[45.35-45.49]  of
[45.49-45.83]  character
[45.83-46.33]  for
[46.33-46.53]  them
[46.53-46.71]  to
[46.71-46.95]  not
[46.95-47.21]  hear
[47.21-47.51]  from
[47.51-47.69]  Anita?
[47.71-47.95]  Very
[47.95-48.25]  much
[48.25-48.59]  so,
[48.81-49.21]  absolutely.
[50.09-50.35]  By
[50.35-50.83]  Monday,
[51.11-51.33]  with
[51.33-51.65]  no
[51.65-51.93]  word
[51.93-52.27]  from
[52.27-52.61]  Anita,
[53.07-53.25]  her
[53.25-53.53]  dad
[53.53-53.91]  Gordon
[53.91-54.33]  made
[54.33-54.63]  the
[54.63-54.85]  hour
[54.85-55.17] -long
[55.17-55.57]  drive
[55.57-55.79]  to
[55.79-55.93]  his
[55.93-56.35]  daughter's
[56.35-56.67]  apartment
[56.67-57.17]  to
[57.17-57.41]  check
[57.41-57.73]  on
[57.73-58.03]  her.
[58.19-58.67]  When
[58.67-58.83]  he
[58.83-59.09]  peered
[59.09-59.39]  through
[59.39-59.81]  Anita's
[59.81-60.11]  window,
[60.51-60.57]  he
[60.57-60.75]  saw
[60.75-61.03]  her
[61.03-61.37]  lying
[61.37-61.85]  face
[61.85-62.37]  down
[62.37-62.69]  in
[62.69-62.89]  her
[62.89-63.37]  bed.
[63.87-64.01]  The
[64.01-64.35]  apartment
[64.35-64.83]  manager
[64.83-65.11]  let
[65.11-65.39]  him
[65.39-65.85]  inside
[65.85-66.43]  and
[66.43-67.01]  immediately
[67.01-67.63]  called
[67.63-68.45]  911.
[93.47-94.09]  Right
[94.09-94.71]  away,
[94.97-95.47]  Anita's
[95.47-95.79]  dad
[95.79-96.13]  called
[96.13-96.49]  his
[96.49-96.95]  sister,
[97.29-97.47]  Karen.
[98.39-98.39]  He
[98.39-98.79]  said,
[99.19-99.39]  you've
[99.39-99.51]  got
[99.51-99.61]  to
[99.61-99.79]  come
[99.79-101.79]  here.
[102.03-102.65]  He
[102.65-105.13]  must
[105.13-105.27]  have
[105.27-105.47]  said
[105.47-105.89]  she's
[105.89-106.13]  dead.
[107.07-107.25]  When
[107.25-107.45]  she
[107.45-107.91]  arrived,
[108.09-108.33]  police
[108.33-108.73]  were
[108.73-109.23]  already
[109.23-109.57]  on
[109.57-109.69]  the
[109.69-110.19]  scene.
[110.55-110.75]  So
[110.75-110.89]  you
[110.89-111.11]  drive
[111.11-111.31]  up
[111.31-111.43]  to
[111.43-111.53]  the
[111.53-111.99]  apartment
[111.99-112.69]  and
[112.69-112.85]  the
[112.85-112.97]  only
[112.97-113.15]  thing
[113.15-113.35]  that
[113.35-113.39]  you
[113.39-113.81]  know
[113.81-114.49]  is
[114.49-114.65]  that
[114.65-114.97]  she's
[114.97-115.27]  gone.
[115.71-115.93]  Anita's
[115.93-116.13]  gone.
[116.71-116.71]  Right.
[116.83-117.25]  I
[117.25-117.69]  can't
[117.69-118.23]  imagine
[118.23-118.89]  Karen,
[119.43-119.91]  him
[119.91-120.19]  coming
[120.19-120.53]  to
[120.53-120.79]  check
[120.79-121.05]  on
[121.05-121.53]  Nina,
[122.29-122.61]  and
[122.61-122.85]  being
[122.85-123.15]  the
[123.15-123.31]  one
[123.31-123.61]  to
[123.61-123.99]  discover
[123.99-124.53]  that
[124.53-124.69]  she
[124.69-124.83]  had
[124.83-125.03]  been
[125.03-125.39]  killed.
[126.55-126.65]  When
[126.65-126.93]  you
[126.93-127.15]  got
[127.15-127.43]  there
[127.43-127.55]  and
[127.55-127.75]  saw
[127.75-128.37]  him,
[128.73-128.95]  how
[128.95-129.25]  was
[129.25-129.65]  he?
[129.95-130.33]  Oh,
[130.67-131.13]  in
[131.13-131.61]  shock.
[132.01-132.07]  I
[132.07-132.23]  mean,
[132.59-132.89]  it's
[132.89-133.09]  just
[133.09-133.83]  something
[133.83-134.05]  you
[134.05-134.37]  never
[134.37-134.87]  ever
[134.87-135.17]  can
[135.17-135.51]  prepare
[135.51-135.99]  yourself
[135.99-136.37]  for.
[137.41-137.91]  Karen
[137.91-138.23]  stayed
[138.23-138.51]  on
[138.51-138.67]  the
[138.67-138.99]  scene
[138.99-139.35]  as
[139.35-139.61]  Gordon
[139.61-140.07]  left
[140.07-140.31]  to
[140.31-140.49]  break
[140.49-140.75]  the
[140.75-140.95]  news
[140.95-141.13]  to
[141.13-141.35]  his
[141.35-141.81]  wife
[141.81-142.17]  and
[142.17-142.31]  the
[142.31-142.49]  rest
[142.49-142.65]  of
[142.65-142.87]  the
[142.87-143.21]  family.
[143.83-143.91]  You
[143.91-144.05]  know,
[144.13-144.81]  he's...
[144.78-145.34]  waiting
[145.34-145.68]  for
[145.68-146.00]  more
[146.00-146.66]  information
[146.66-147.86]  from
[147.86-148.16]  the
[148.16-149.02]  detectives
[149.02-149.44]  and
[149.44-149.60]  yet
[149.60-149.80]  he
[149.80-150.04]  knows
[150.04-150.18]  he
[150.18-150.38]  needs
[150.38-150.58]  to
[150.58-150.58]  go
[150.58-150.84]  back
[150.84-151.02]  to
[151.02-151.24]  build
[151.24-151.94]  and
[151.94-152.18]  talk
[152.18-152.42]  to
[152.42-152.72]  Sharon
[152.72-153.38]  and
[153.38-153.54]  the
[153.54-153.76]  other
[153.76-153.94]  two
[153.94-154.44]  kids.
[155.32-155.34]  So
[155.34-155.84]  he
[155.84-156.04]  stayed
[156.04-156.34]  for
[156.34-156.56]  a
[156.56-156.96]  while
[156.96-157.48]  but
[157.48-157.70]  then
[157.70-157.82]  he
[157.82-157.98]  knew
[157.98-158.44]  he
[158.44-158.64]  had
[158.64-158.74]  to
[158.74-159.72]  leave
[159.72-160.40]  and
[160.40-160.82]  co
[160.82-160.98] -do
[160.98-161.28]  that
[161.28-161.62]  and
[161.62-161.68]  he
[161.68-161.96]  stayed.
[162.90-162.90]  I
[162.90-163.20]  wouldn't
[163.20-163.78]  leave.
[165.44-165.58]  What
[165.58-165.80]  made
[165.80-165.96]  you
[165.96-166.46]  stay?
[167.60-167.82]  Couldn't
[167.82-168.16]  leave.
[169.70-169.86]  We
[169.86-170.16]  had
[170.16-170.28]  to
[170.28-170.50]  stay
[170.50-170.74]  there
[170.74-170.90]  for
[170.90-171.30]  her.
[173.28-173.80]  You
[173.80-173.98]  felt
[173.98-174.20]  you
[174.20-174.32]  were
[174.32-174.62]  being
[174.62-174.86]  there
[174.86-175.02]  for
[175.02-176.38]  her.
[176.78-176.82]  Had
[176.82-176.98]  to
[176.98-177.12]  be
[177.12-177.78]  there.
[179.00-179.10]  She
[179.10-179.38]  knew
[179.38-179.62]  when
[179.62-179.92]  that
[179.92-180.48]  instant
[180.48-181.28]  everything
[181.28-181.80]  had
[181.80-182.48]  changed.
[182.84-183.04]  From
[183.04-183.26]  that
[183.26-183.52]  day
[183.52-183.90]  on,
[184.06-184.16]  when
[184.16-184.36]  it
[184.36-184.40]  got
[184.40-184.54]  to
[184.54-184.74]  be
[184.74-185.02]  dark,
[185.12-185.24]  the
[185.24-185.50]  doors
[185.50-185.82]  were
[185.82-186.22]  definitely
[186.22-186.64]  locked,
[186.80-186.84]  the
[186.84-187.06]  shades
[187.06-187.32]  were
[187.32-187.70]  pulled.
[188.20-188.36]  And
[188.36-188.58]  the
[188.58-189.00]  mystery
[189.00-189.28]  of
[189.28-189.50]  who
[189.50-189.78]  killed
[189.78-190.16]  Anita
[190.16-191.00]  was
[191.00-191.50]  only
[191.50-191.94]  just
[191.94-192.38]  beginning.
[192.94-193.26]  Somebody
[193.26-193.62]  is
[193.62-194.10]  there
[194.10-194.28]  kind
[194.28-194.38]  of
[194.38-194.54]  in
[194.54-194.78]  her
[194.78-195.24]  face
[195.24-195.56]  holding
[195.56-195.88]  the
[195.88-196.08]  knife
[196.08-196.30]  to
[196.30-196.42]  her
[196.42-196.74]  neck.
[196.84-197.06]  It
[197.06-197.22]  was
[197.22-197.52]  scary,
[197.68-197.68]  I
[197.68-197.90]  mean,
[198.22-198.38]  because
[198.38-198.66]  anybody
[198.66-198.92]  in
[198.92-199.28]  everybody
[199.28-199.90]  is
[199.90-199.98]  a
[199.98-200.16]  suspect
[200.16-200.48]  to
[200.48-200.72]  me.
[200.80-201.06]  As
[201.06-201.18]  soon
[201.18-201.38]  as
[201.38-201.62]  the
[201.62-201.70]  chance
[201.70-201.96]  that
[201.96-202.02]  he
[202.02-202.20]  crawled
[202.20-202.42]  into
[202.42-202.70]  the
[202.70-202.70]  window
[202.70-202.96]  and
[202.96-203.10]  killed
[203.10-203.40]  the
[203.40-203.76]  girl,
[204.10-204.12]  he
[204.12-204.36]  was
[204.36-204.62]  like,
[204.78-204.86]  I
[204.86-204.94]  can't
[204.94-205.18]  breath,
[205.46-205.66]  I
[205.66-205.86]  can't
[205.86-205.86]  breath,
[205.86-205.86]  I
[205.86-205.86]  can't
[205.86-206.10]  smell
[206.10-206.26]  your
[206.26-206.62]  man.
[207.56-207.80]  It
[207.80-207.86]  was
[207.86-208.18]  pressure
[208.18-208.48]  from
[208.48-208.62]  a
[208.62-208.84]  TV
[208.84-209.22]  show.
[209.48-209.56]  They
[209.56-209.72]  put
[209.72-209.90]  an
[209.90-210.28]  incredible
[210.28-210.68]  amount
[210.68-210.80]  of
[210.80-211.16]  pressure
[211.16-211.68]  to
[211.68-211.92]  bring
[211.92-212.30]  charges
[212.30-212.56]  in
[212.56-212.74]  this
[212.74-213.42]  case.
[228.58-229.06]  David
[229.06-229.62]  Goodman
[229.72-230.34]  Unnually
[230.34-230.80]  minted
[230.80-231.28]  detective
[231.28-231.64]  with
[231.64-231.78]  the
[231.78-232.16]  Minot
[232.16-232.50]  Police
[232.50-233.04]  Department
[233.04-233.68]  had
[233.68-233.92]  a
[233.92-234.10]  lot
[234.10-234.32]  to
[234.32-234.54]  think
[234.54-234.96]  about
[234.96-235.22]  as
[235.22-235.34]  he
[235.34-235.52]  made
[235.52-235.72]  his
[235.72-235.88]  way
[235.88-236.04]  to
[236.04-236.18]  the
[236.18-236.60]  apartment
[236.60-237.04]  where
[237.04-237.32]  Anita
[237.32-237.72]  Connutz
[237.72-237.94]  and
[237.94-238.12]  was
[238.12-238.64]  murdered.

--- Chunk 2 ---
[0.00-0.84]  unexplained
[0.84-1.28]  death
[1.28-1.54]  of
[1.54-1.68]  a
[1.68-2.06]  promising
[2.06-2.50]  young
[2.50-2.82]  college
[2.82-3.30]  student
[3.30-3.92]  was
[3.92-4.44]  virtually
[4.44-5.18]  unheard
[5.18-5.54]  of
[5.54-5.72]  in
[5.72-5.92]  my
[5.92-6.12]  not
[6.12-6.36]  North
[6.36-7.40]  Dakota.
[8.16-8.18]  So
[8.18-8.34]  as
[8.34-8.50]  you're
