--- Chunk 0 ---
[5.43-5.87]  Hei!
[87.18-87.50]  trå.
[88.12-88.36]  Under
[88.36-88.92]  brukername
[88.92-89.64]  Bloodshot
[89.64-90.04]  Ice
[90.04-90.38]  så
[90.38-90.60]  spør
[90.60-90.76]  han.
[91.21-91.73]  Hvordan
[91.73-92.27]  skyter
[92.27-92.63]  heroin?
[94.31-94.89]  Hvor
[94.89-95.13]  lese
[95.13-95.35]  noen
[95.35-95.71]  tråder
[95.71-95.79]  om
[95.79-95.93]  dette?
[97.11-97.29]  Men
[97.29-97.39]  jeg
[97.39-97.49]  ble
[97.49-97.67]  ikke
[97.67-97.97]  veldig
[97.97-98.11]  mye
[98.11-98.45]  klokere.
[100.37-101.05]  Hvilken
[101.05-101.65]  størrelse
[101.65-102.15]  bespryter
[102.15-102.33]  være?
[104.11-104.79]  Hvordan
[104.79-105.03]  skal
[105.03-105.51]  forholdet
[105.51-105.79]  mellom
[105.79-106.03]  heroin,
[106.43-106.69]  vann
[106.69-106.97]  og
[106.97-107.37]  askorbin
[107.37-107.69]  syre
[107.69-107.87]  være?
[108.87-109.31]  Hvor
[109.31-109.59]  lenge
[109.59-109.81]  skal
[109.81-109.89]  det
[109.89-110.07]  koke?
[111.19-111.77]  Takk
[111.77-111.85]  for
[111.85-112.01]  svar.
[114.25-114.93]  Gjennom
[114.93-115.03]  de
[115.03-115.27]  neste
[115.27-115.63]  årene
[115.63-116.05]  skal
[116.05-116.39]  denne
[116.39-117.59]  diskusjonstråen
[117.59-117.89]  også
[117.89-118.45]  bli
[118.45-118.63]  den
[118.63-119.03]  røde
[119.03-119.43]  trån
[119.43-119.71]  gjennom
[119.71-120.11]  Geijs
[120.11-120.31]  liv.
[120.72-121.02]  Og
[121.02-121.14]  det
[121.14-121.22]  han
[121.22-121.66]  skriver
[121.66-121.88]  der
[121.88-122.18]  skal
[122.18-122.38]  enda
[122.38-122.46]  opp
[122.46-122.56]  med
[122.56-122.62]  å
[122.62-122.74]  bli
[122.74-123.14]  lest
[123.14-123.30]  av
[123.30-124.12]  hundretusner.
[125.24-125.40]  Det
[125.40-125.52]  skal
[125.52-125.72]  gjøre
[125.72-125.90]  folk
[125.90-126.12]  for
[126.12-126.60]  bannet,
[126.86-127.38]  berørte
[127.38-127.94]  og
[127.94-128.40]  noen
[128.40-128.54]  som
[128.54-128.66]  for
[128.66-128.98]  eksempel
[128.98-129.42]  foreldra
[129.42-129.70]  hans
[129.70-130.52]  chokerte.
[131.36-131.94]  For
[131.94-132.04]  det
[132.04-132.26]  Gjær
[132.26-132.48]  skal
[132.48-132.82]  gjøre
[132.82-133.16]  er
[133.16-133.26]  å
[133.26-134.02]  liveblogge
[134.02-134.36]  sin
[134.36-134.70]  egen
[134.70-135.16]  undergang.
[161.29-161.77]  Altså,
[161.85-161.87]  jeg
[161.87-161.99]  kunne
[161.99-162.69]  gråte
[162.69-162.91]  i
[162.91-163.83]  teamsvis.
[164.33-164.57]  Hva
[164.57-164.69]  en
[164.69-165.35]  vittig
[165.35-165.83]  gråte
[165.83-166.15]  anfall?
[167.33-167.73]  Også
[167.73-168.01]  sier
[168.01-168.31]  han,
[169.33-169.51]  hva
[169.51-169.61]  er
[169.61-170.25]  et
[170.25-170.93]  skudd
[170.93-171.27]  her,
[171.47-171.69]  eller
[171.69-172.35]  om
[172.35-172.41]  jeg
[172.41-172.55]  går
[172.55-172.63]  ut
[172.63-172.71]  på
[172.71-172.87]  das?
[174.17-174.65]  Hva
[174.65-174.79]  er
[174.79-174.91]  det
[174.91-175.17]  her?
[175.95-176.11]  Er
[176.11-176.17]  det
[176.17-176.31]  et
[176.31-176.69]  sinne
[176.69-176.77]  i
[176.77-176.93]  deg?
[177.33-177.45]  Hvor
[177.45-177.75]  kommer
[177.75-177.95]  dette
[177.95-178.43]  herfra?
[180.01-180.33]  Vi
[180.33-180.67]  visste
[180.67-180.79]  jo
[180.79-180.87]  ikke
[180.87-180.97]  om
[180.97-181.47]  å
[181.47-181.91]  overleve
[181.91-182.01]  det
[182.01-182.37]  kvelden.
[184.37-184.89]  Fannet
[184.89-184.95]  gjør
[184.95-185.03]  man
[185.03-185.31]  noen
[185.31-185.47]  å
[185.47-186.01]  overdosa.
[186.47-186.59]  Jeg
[186.59-186.67]  vet
[186.67-186.75]  det
[186.75-186.89]  fan.
[187.95-188.23]  Og
[188.23-188.41]  då
[188.41-188.75]  sto
[188.75-188.93]  han
[188.93-189.09]  med
[189.09-189.45]  en...
[189.77-190.13]  En
[190.13-190.41]  svær
[190.41-191.09]  sprøytte
[191.09-191.15]  i
[191.15-191.49]  hånden
[191.49-191.87]  og
[191.87-192.19]  sa
[192.19-192.37]  at
[192.37-192.91]  politiet
[192.91-193.09]  ikke
[193.09-193.35]  måtte
[193.35-193.69]  komme
[193.69-194.45]  nær
[194.45-194.65]  han,
[194.77-194.89]  fordi
[194.89-196.23]  nå
[196.23-197.07]  vil
[197.07-197.23]  han
[197.23-197.45]  gjøre
[197.45-197.57]  det
[197.57-197.95]  slutt
[197.95-198.37]  for
[198.37-198.67]  alltid.
[199.59-199.89]  I
[199.89-200.13]  denne
[200.13-200.45]  serien
[200.45-200.69]  skal
[200.69-200.87]  vi
[200.87-201.29]  følge
[201.29-201.61]  Geir
[201.61-202.05]  gjennom
[202.05-202.53]  Trånans
[202.53-202.73]  på
[202.73-203.45]  flikvormet.
[203.97-204.35]  Både
[204.35-204.63]  gjennom
[204.63-204.73]  det
[204.73-204.83]  han
[204.83-205.07]  skrev
[205.07-205.37]  selv,
[205.71-205.73]  men
[205.73-205.91]  også
[205.91-206.05]  det
[206.05-206.59]  andre
[206.59-206.89]  skrev
[206.89-207.05]  til
[207.05-207.31]  han.
[208.43-208.89]  Målet
[208.89-209.11]  er
[209.11-209.21]  å
[209.21-209.41]  prøve
[209.41-209.55]  å
[209.55-209.95]  forstå.
[210.51-210.67]  Hva
[210.67-210.83]  er
[210.83-210.93]  det
[210.93-211.07]  som
[211.07-211.29]  får
[211.29-211.49]  en
[211.49-211.65]  til
[211.65-212.31]  synlattende
[212.31-212.65]  ganske
[212.65-213.23]  vanlig
[213.23-213.77]  kjuåring
[213.77-214.11]  til
[214.11-214.21]  å
[214.21-214.31]  be
[214.31-214.41]  om
[214.41-214.77]  hjelp
[214.77-214.99]  til
[214.99-215.05]  å
[215.05-215.37]  starte
[215.37-215.49]  med
[215.49-215.75]  heroin?
[216.81-216.97]  Og
[216.97-217.11]  kunne
[217.11-217.55]  noen
[217.74-218.14]  Enten
[218.14-218.18]  inn
[218.18-218.30]  på
[218.30-218.62]  freak
[218.62-218.94]  eller
[218.94-219.30]  rundt
[219.30-219.46]  Geir
[219.46-219.84]  Sjøld,
[220.10-220.40]  sagt
[220.40-220.58]  eller
[220.58-220.80]  gjort
[220.80-221.22]  noe
[221.22-221.40]  for
[221.40-221.48]  å
[221.48-221.92]  hindre
[221.92-222.16]  at
[222.16-222.26]  det
[222.26-222.38]  gikk
[222.38-222.54]  som
[222.54-222.68]  det
[222.68-223.02]  gikk.
[228.16-228.68]  Rett
[228.68-228.92]  bak
[228.92-229.18]  den
[229.18-229.40]  store
[229.40-230.18]  travbanen
[230.18-230.28]  på
[230.28-230.58]  Berke
[230.58-230.96]  Oslo
[230.96-231.46]  ligger
[231.46-231.88]  altså
[231.88-232.00]  det
[232.00-232.24]  røde
[232.24-232.66]  huset
[232.66-232.92]  Geir
[232.92-233.46]  Vokstopp
[233.46-233.54]  i.
[237.02-237.54]  Kjøkkenvindust
[237.54-237.66]  er
[237.66-238.24]  oppendt,
[238.32-238.34]  og
[238.34-238.64]  lyden
[238.64-238.80]  fra
[238.80-239.54]  travbanen
[239.54-239.74]  bare
[239.74-240.02]  ...

--- Chunk 1 ---
[0.00-0.12]  –
[0.12-0.12]  helt
[0.12-0.36]  inn
[0.36-0.52]  til
[0.52-0.82]  Mokka
[0.82-1.22] -Mannstern
[1.22-1.36]  på
[1.36-1.72]  benken.
[11.16-11.60]  Hva
[11.60-11.66]  er
[11.66-12.12]  kaffeer
[12.12-12.18]  du
[12.18-12.52]  har?
[18.26-18.70]  Bjerg
[18.70-18.78]  og
[18.78-19.28]  torrarne
[19.28-19.50]  er
[19.50-19.68]  for
[19.68-19.96]  eldre
[19.96-20.08]  at
[20.08-20.18]  de
[20.18-20.34]  gjer.
[22.58-23.02]  Kaffeekoppena
[23.02-23.08]  er
[23.08-23.48]  plasseres
[23.48-23.64]  på
[23.64-23.72]  et
[23.72-23.86]  lite
[23.86-24.20]  bord
[24.20-24.42]  med
[24.42-24.76]  akkurat
[24.76-24.90]  nok
[24.90-25.24]  plass
[25.24-25.42]  til
[25.42-25.64]  tre
[25.64-26.22]  personer.
[26.60-26.68]  Det
[26.68-26.82]  var
[26.82-26.90]  jo
[26.90-27.04]  bare
[27.04-27.20]  de
[27.20-27.46]  tre
[27.46-27.92]  familien.
[29.54-30.10]  Foran
[30.10-30.30]  emn
[30.30-30.36]  på
[30.36-30.80]  bordet
[30.80-31.00]  ligger
[31.00-31.20]  et
[31.20-31.46]  sykt
[31.46-32.06]  fotalbum
[32.06-32.50]  med
[32.50-32.94]  bilder
[32.94-33.08]  fra
[33.08-33.26]  da
[33.26-33.48]  Geir
[33.48-33.58]  var
[33.58-33.90]  liten.
[43.70-44.26]  Her
[44.26-44.94]  er
[44.94-45.84]  det
[45.84-46.16]  første
[46.16-46.66]  skoledag
[46.66-46.88]  til
[46.88-47.18]  Geir.
[47.68-47.84]  En
[47.84-48.48]  lyslugg
[48.48-48.48]  av
[48.48-48.82]  gutt
[48.82-49.32]  smiler
[49.32-49.52]  så
[49.52-49.76]  brett
[49.76-49.86]  han
[49.86-50.14]  kan.
[50.72-50.84]  På
[50.84-51.20]  beina
[51.20-51.42]  så
[51.42-51.50]  har
[51.50-51.58]  han
[51.58-52.08]  flonken
[52.08-52.20]  en
[52.20-52.34]  ny
[52.34-52.88]  joggesko
[52.88-53.06]  med
[53.06-53.72]  borrelås.
[54.04-54.52]  Perfekt
[54.52-54.68]  for
[54.68-54.78]  en
[54.78-54.96]  liten
[54.96-55.24]  kar
[55.24-55.50]  som
[55.50-55.80]  alltid
[55.80-56.04]  hadde
[56.04-56.34]  dårlig
[56.34-56.58]  tid.
[58.10-58.66]  Geir
[58.66-58.84]  ble
[58.84-59.06]  født
[59.06-59.18]  i
[59.18-59.78]  1992.
[60.08-60.32]  Sein
[60.32-60.50]  på
[60.50-60.78]  året.
[61.58-61.78]  Så
[61.78-61.88]  da
[61.88-62.06]  han
[62.06-62.32]  begynte
[62.32-62.48]  på
[62.48-62.86]  skolen
[62.86-63.34]  var
[63.34-63.44]  han
[63.44-63.64]  bare
[63.64-63.86]  fem
[63.86-64.10]  år.
[67.40-67.96]  Han
[67.96-68.14]  var
[68.14-68.38]  en
[68.38-68.80]  veldig
[68.80-69.20]  ung
[69.20-70.96]  skolegut.
[71.94-72.50]  Full
[72.50-72.92]  av
[72.92-73.46]  liv.
[73.78-73.98]  Han
[73.98-74.30]  glede
[74.30-74.52]  seg
[74.52-75.30]  veldig
[75.30-75.46]  til
[75.46-75.50]  å
[75.50-75.66]  begynne
[75.66-75.82]  på
[75.82-76.16]  skolen.
[76.52-76.74]  Han
[76.74-77.06]  hadde
[77.06-77.48]  veldig
[77.48-77.74]  mye
[77.74-78.36]  uro
[78.36-79.04]  i
[79.04-79.62]  kroppen.
[81.40-81.96]  Det
[81.96-82.12]  ble
[82.12-82.30]  ikke
[82.30-82.54]  så
[82.54-82.86]  gøy
[82.86-83.06]  som
[83.06-83.20]  han
[83.20-83.62]  trodde,
[83.64-83.74]  tror
[83.74-83.92]  jeg.
[84.32-84.62]  Han
[84.62-84.84]  ble
[84.84-85.20]  nok
[85.20-85.82]  litt
[85.82-86.30]  skuffa.
[86.42-86.78]  Både
[86.78-87.04]  over
[87.04-87.34]  at
[87.34-87.54]  jeg
[88.00-88.22]  Han
[88.22-88.52]  ikke
[88.52-88.76]  fikk
[88.76-89.18]  lov
[89.18-89.34]  til
[89.34-89.46]  å
[89.46-89.90]  lære
[89.90-90.90]  bokstav
[90.90-91.18]  og
[91.18-91.62]  matte,
[92.22-92.42]  for
[92.42-92.66]  det
[92.66-92.92]  skulle
[92.92-93.18]  ikke
[93.18-93.28]  de
[93.28-93.58]  gjøre
[93.58-93.70]  i
[93.70-94.76]  1997.
[95.40-95.62]  Då
[95.62-95.86]  skulle
[95.86-96.14]  de
[96.14-96.36]  ha
[96.36-97.12]  lekt
[97.12-97.26]  det
[97.26-97.74]  første
[97.74-98.22]  året.
[98.78-99.00]  Det
[99.00-99.18]  var
[99.18-99.28]  jo
[99.28-99.68]  ganske
[99.68-100.72]  biterbejærlig,
[101.04-101.14]  så
[101.14-101.30]  det
[101.30-101.36]  er
[101.36-101.98]  liggebøl.
[102.56-102.86]  Det
[102.86-103.06]  der
[103.06-103.20]  skulle
[103.20-103.48]  føles
[103.48-103.60]  en
[103.60-103.90]  ligge,
[103.94-104.00]  er
[104.00-104.22]  at
[104.22-104.32]  han
[104.32-104.54]  ikke
[104.54-104.92]  følte
[104.92-105.06]  han
[105.06-105.34]  ikke
[105.34-105.96]  kom
[105.96-106.14]  noe
[106.14-106.46]  videre.
[106.84-107.20]  Det
[107.20-107.40]  ble
[107.40-107.74]  etter
[107.74-107.88]  hvert
[107.88-108.02]  en
[108.02-108.40]  veldig
[108.40-108.92]  urolig
[108.92-109.30]  klasse,
[110.14-110.18]  og
[110.18-110.48]  Geir
[110.48-110.68]  var
[110.68-111.02]  med
[111.02-111.50]  blant
[111.50-111.74]  de
[111.74-112.06]  som
[112.06-113.10]  skapte
[113.10-113.48]  mye
[113.48-113.88]  uro.
[115.29-115.81]  Forældrene
[115.81-116.33]  forstod
[116.33-116.57]  at
[116.57-116.77]  selv
[116.77-116.91]  om
[116.91-117.09]  Gjær
[117.09-117.47]  snakket
[117.47-117.87]  mye
[117.87-117.99]  om
[117.99-118.55]  livesitt,
[118.89-119.01]  så
[119.01-119.11]  var
[119.11-119.17]  det
[119.17-119.29]  ikke
[119.29-119.57]  alt
[119.57-119.81]  han
[119.81-120.13]  fortalt
[120.13-120.37]  det.
[121.79-122.31]  Det
[122.31-122.73]  skjedde
[122.73-122.97]  noe
[122.97-123.31]  derfra.
[123.95-124.45]  Mødlem
[124.45-125.05]  var
[125.05-125.25]  det
[125.25-125.41]  28
[125.41-126.01] -29
[126.01-126.27]  år,
[126.89-126.97]  og
[126.97-127.11]  i
[127.11-127.45]  droppet
[127.45-127.53]  var
[127.53-127.67]  det
[127.67-127.67]  så
[127.67-128.03]  skjedde
[128.03-128.13]  det
[128.13-129.69]  noe.
[129.69-130.09]  Det
[130.09-130.21]  har
[130.21-130.33]  jo
[130.33-130.59]  ikke
[130.59-130.85]  blitt
[130.85-131.19]  egentlig
[131.19-131.39]  alltid
[131.39-131.73]  tak
[131.73-132.03]  i
[132.03-132.47]  hva
[132.47-132.63]  det
[132.63-132.81]  var.
[138.11-138.63]  Vær
[138.63-138.77]  så
[138.77-139.01]  snill
[139.01-139.09]  å
[139.09-139.35]  ikke
[139.35-140.23]  moralisere.
[140.93-141.11]  Han
[141.11-141.29]  kommer
[141.29-141.47]  til
[141.47-141.51]  å
[141.51-141.75]  gjøre
[141.75-141.87]  det
[141.87-142.61]  uansett
[142.61-143.01]  han
[143.01-143.31]  har
[143.31-143.73]  allerede
[143.73-143.97]  alt.
[144.49-144.83]  Han
[144.83-145.05]  trenger
[145.05-145.25]  bare
[145.25-145.93]  instruksjonen
[145.93-146.03]  om
[146.03-146.35]  hvordan
[146.35-146.53]  han
[146.53-146.65]  skal
[146.65-146.95]  gjøre
[146.95-147.09]  dette
[147.09-147.27]  han
[147.27-147.59]  trykker.
[148.13-148.29]  I
[148.29-148.37]  de
[148.37-148.69]  første
[148.69-149.15]  svarene
[149.15-149.25]  er
[149.25-149.37]  på
[149.37-149.61]  tråd
[149.61-149.81]  til
[149.81-150.11]  Geir
[150.11-150.27]  på
[150.27-150.91]  flygforum,
[151.09-151.17]  så
[151.17-151.69]  diskuterer
[151.69-151.89]  folk
[151.89-152.17]  om
[152.17-152.25]  det
[152.25-152.35]  er
[152.35-152.81]  riktig
[152.81-152.95]  å
[152.95-153.45]  hjelpe
[153.45-153.79]  noen
[153.79-153.93]  med
[153.93-154.01]  å
[154.01-154.29]  starte
[154.29-154.57]  heroin,
[155.11-155.29]  eller
[155.29-155.43]  om
[155.43-155.49]  det
[155.49-155.77]  beste
[155.77-155.99]  er
[155.99-156.09]  å
[156.09-156.31]  ikke
[156.31-156.77]  svare,
[157.07-157.25]  sånn
[157.25-157.33]  at
[157.33-157.41]  han
[157.41-157.87]  kanskje
[157.87-158.03]  ikke
[158.03-158.45]  prøver
[158.45-158.63]  i
[158.63-158.67]  det
[158.67-158.87]  hele
[158.87-159.07]  tatt.
[160.03-160.53]  Geir
[160.53-160.99]  svarer
[160.99-161.19]  at
[161.19-161.61]  uansett
[161.61-161.73]  det
[161.73-161.81]  er
[161.81-162.23]  forsjent.
[162.85-162.99]  Han
[162.99-163.35]  skriver
[163.35-163.57]  at
[163.57-163.69]  han
[163.69-163.87]  har
[163.87-164.33]  allerede
[164.33-164.57]  blitt
[164.57-164.85]  skutt
[164.85-165.13]  to
[165.13-165.49]  ganger.
[166.27-166.77]  Altså
[166.77-166.91]  at
[166.91-167.09]  noen
[167.09-167.61]  andre
[167.61-167.79]  har
[167.79-168.29]  innesert
[168.29-168.61]  heroin
[168.61-168.87]  i
[168.87-169.11]  han
[169.11-169.39]  med
[169.39-169.81]  spreite.
[171.79-172.29]  Så
[172.29-172.57]  denne
[172.57-172.87]  skelen
[172.87-173.07]  har
[173.07-173.37]  allerede
[173.37-173.69]  tapt.
[177.34-177.82]  Kødder.
[178.32-178.72]  Har
[178.72-179.02]  større
[179.02-179.42]  vansker
[179.42-179.58]  med
[179.58-179.66]  å
[179.66-179.82]  holde
[179.82-179.92]  med
[179.92-180.00]  en
[180.00-180.64]  anikotin
[180.64-180.80]  en
[180.80-181.18]  heroine?
[183.26-183.74]  Du
[183.74-183.96]  pitter
[183.96-184.52]  heroinen
[184.52-184.76]  opp
[184.76-184.90]  i
[184.90-185.02]  en
[185.02-185.38]  skje
[185.38-186.04]  sammen
[186.04-186.26]  med
[186.26-186.58]  cirka
[186.58-186.90]  to
[186.90-187.36]  minutter
[187.36-187.60]  vann.
[188.60-189.08]  Stikk
[189.08-189.22]  ned
[189.22-189.36]  på
[189.36-189.94]  sporetrummet,
[190.08-190.14]  det
[190.14-191.28]  er
[191.28-191.38]  for
[191.38-191.48]  du
[191.48-191.80]  skikker
[191.80-192.34]  informasjonen.
[194.22-194.70]  Nåla
[194.70-194.92]  skal
[194.92-195.16]  ikke
[195.16-195.32]  røre
[195.32-195.60]  han
[195.60-195.96]  nåke
[195.96-196.16]  som
[196.16-196.58]  helst
[196.58-197.04]  bortsett
[197.04-197.20]  hva
[197.20-197.42]  huden
[197.42-197.64]  din.
[199.00-199.48]  Ikke
[199.48-199.74]  gjøre
[199.74-199.88]  det.
[200.56-200.76]  Det
[200.76-200.80]  er
[200.80-200.92]  for
[200.92-201.32]  siktig
[201.32-201.62]  første
[201.62-202.04]  gangen.
[202.40-202.52]  Vil
[202.52-202.62]  du
[202.62-202.78]  også
[202.78-203.00]  si
[203.00-203.20]  at
[203.20-203.30]  det
[203.30-203.36]  er
[203.36-203.62]  stor
[203.62-203.92]  fare
[203.92-204.14]  for
[204.14-204.26]  at
[204.26-204.38]  du
[204.38-204.60]  lager
[204.60-204.78]  et
[204.78-205.48]  evigværende
[205.48-205.78]  forhold
[205.78-205.92]  med
[205.92-206.16]  Nåla?
[206.51-206.73]  som
[206.73-206.85]  du
[206.85-207.17]  kanskje
[207.17-207.41]  aldri
[207.41-207.63]  kommer
[207.63-207.75]  til
[207.75-207.77]  å
[207.77-207.97]  gjøre.
[210.83-211.23]  Gjær
[211.23-211.69]  skriver
[211.69-211.99]  at
[211.99-212.11]  han
[212.11-212.61]  allerede
[212.61-212.85]  har
[212.85-213.27]  røyket
[213.27-213.57]  heroin
[213.57-214.51]  sporadisk
[214.51-214.69]  i
[214.69-214.81]  et
[214.81-215.07]  halvt
[215.07-215.25]  år.
[217.25-217.65]  Følger
[217.65-217.71]  meg
[217.71-217.95]  ganske
[217.95-218.29]  sikker
[218.29-218.41]  på
[218.41-218.55]  at
[218.55-218.73]  dette
[218.73-218.91]  er
[218.91-218.99]  et
[218.99-219.19]  stoff
[219.19-219.43]  jeg
[219.43-219.55]  ikke
[219.55-219.73]  kommer
[219.73-219.91]  til
[219.91-219.95]  å
[219.95-220.15]  miste
[220.15-220.61]  kontrollen
[220.61-220.75]  over.
[222.57-222.97]  Heroin
[222.97-223.15]  er
[223.15-223.27]  ikke
[223.27-223.41]  noe
[223.41-223.53]  man
[223.53-223.91]  leker
[223.91-224.09]  med,
[224.39-224.45]  men
[224.45-224.57]  når
[224.57-224.93]  først
[224.93-225.47]  trådstater
[225.47-225.71]  har
[225.71-226.15]  bestemt
[226.15-226.33]  seg,
[226.61-226.63]  så
[226.63-226.79]  løver
[226.79-226.93]  vi
[226.93-227.01]  han
[227.01-227.23]  kjøre
[227.23-227.43]  sitt
[227.43-227.67]  eget
[227.67-228.09]  løp,
[228.09-228.21]  ikke
[228.21-228.47]  sant?
[229.63-230.03]  Reiner
[230.03-230.13]  meg
[230.13-230.27]  at
[230.27-230.39]  han
[230.39-230.55]  er
[230.55-230.85]  fullt
[230.85-231.01]  klar
[231.01-231.21]  over
[231.21-231.45]  hva
[231.45-231.59]  han
[231.59-231.83]  begyr
[231.83-231.95]  seg
[231.95-232.13]  ut
[232.13-232.29]  på.
[233.74-234.04]  De
[234.04-234.46]  fleste
[234.46-234.68]  vet
[234.68-235.14]  allerede
[235.14-235.22]  at
[235.22-235.50]  skiten
[235.50-235.66]  av
[235.66-235.94]  heroin
[235.94-236.38]  ikke
[236.38-236.74]  akkurat
[236.74-236.82]  er
[236.82-237.02]  bra
[237.02-237.20]  for
[237.20-237.60]  helsen
[237.60-237.74]  i
[237.74-237.92]  lang
[237.92-238.30]  løp.

--- Chunk 2 ---
[0.00-0.00]  Det
[0.00-0.12]  kan
[0.12-0.22]  vi
[0.22-0.30]  ikke
[0.30-0.46]  bare
